"","ensembl","tissue_TMM","nCPM_1_TMM","nCPM_early_placenta_TMM","nCPM_ratio_TMM","tissue_DESq","nCPM_1_DESq","nCPM_early_placenta_DESq","nCPM_ratio_DESq","hgnc_symbol","description"
"1","ENSG00000186827","male_placenta_mid",1.58215608818846,0.393493988240245,4.02078846303107,"male_placenta_mid",1.65999831174012,0.398726427953265,4.1632512804862,"TNFRSF4","TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]"
"2","ENSG00000162444","male_placenta_mid",11.7637399796722,3.7901307613127,3.10378209104265,"male_placenta_mid",12.2475297827512,3.54170394568082,3.45808965701024,"RBP7","retinol binding protein 7 [Source:HGNC Symbol;Acc:HGNC:30316]"
"3","ENSG00000162493","male_placenta_mid",118.979528523618,26.9949870565998,4.4074675151411,"male_placenta_mid",123.238647209863,26.5011828412537,4.65030742016619,"PDPN","podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]"
"4","ENSG00000173372","male_placenta_mid",127.352827472525,42.3039164235505,3.01042641531005,"male_placenta_mid",131.355112586422,42.5406159023429,3.08775765936167,"C1QA","complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]"
"5","ENSG00000197273","male_placenta_mid",1.46584668181093,0.0555783542028577,26.3744168540989,"male_placenta_mid",1.47570225924355,0.0506915772518147,29.1113896873414,"GUCA2A","guanylate cyclase activator 2A [Source:HGNC Symbol;Acc:HGNC:4682]"
"6","ENSG00000117407","male_placenta_mid",1.32402283094872,0.436625801631455,3.03239713732331,"male_placenta_mid",1.33653565165828,0.433905411347272,3.08024656228266,"ARTN","artemin [Source:HGNC Symbol;Acc:HGNC:727]"
"7","ENSG00000081985","male_placenta_mid",16.5743730548039,2.37715733528578,6.97235004548462,"male_placenta_mid",17.3188817615682,2.28582784723415,7.5766343395125,"IL12RB2","interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]"
"8","ENSG00000122420","male_placenta_mid",20.8193079055578,4.9210476398275,4.23066579097121,"male_placenta_mid",21.3080044234027,4.62450916367059,4.60762508393215,"PTGFR","prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]"
"9","ENSG00000153898","male_placenta_mid",4.73198173089814,0.777876653966158,6.08320317465654,"male_placenta_mid",4.88331736701873,0.77217991843848,6.32406677564717,"MCOLN2","mucolipin TRP cation channel 2 [Source:HGNC Symbol;Acc:HGNC:13357]"
"10","ENSG00000055732","male_placenta_mid",4.69561889962461,1.40389247105336,3.34471406923453,"male_placenta_mid",4.8291074865271,1.34164811304076,3.59938454769801,"MCOLN3","mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]"
"11","ENSG00000137975","male_placenta_mid",2.6980902769878,0.245573640138864,10.9868888023247,"male_placenta_mid",2.82105088558048,0.225938008254276,12.4859509357346,"CLCA2","chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016]"
"12","ENSG00000143028","male_placenta_mid",7.23981801168512,1.01021075204121,7.1666412152677,"male_placenta_mid",7.52507829574235,0.956341608083527,7.86860911638293,"SYPL2","synaptophysin like 2 [Source:HGNC Symbol;Acc:HGNC:27638]"
"13","ENSG00000184371","male_placenta_mid",55.0417471390384,17.7504714570327,3.10086113894349,"male_placenta_mid",56.6997364204034,17.7523101952218,3.19393565101542,"CSF1","colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]"
"14","ENSG00000177272","male_placenta_mid",1.05478204967553,0.19870872794212,5.30818178244676,"male_placenta_mid",1.08674462934615,0.194367707709205,5.59117891626338,"KCNA3","potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221]"
"15","ENSG00000121933","male_placenta_mid",14.8441474696486,3.56142431547268,4.16803676134795,"male_placenta_mid",15.4402313544979,3.35746445424158,4.59877731095316,"TMIGD3","transmembrane and immunoglobulin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:51375]"
"16","ENSG00000134207","male_placenta_mid",1.19762631512897,0.195080435166519,6.13914108868317,"male_placenta_mid",1.2374766410982,0.201263727293635,6.14853286152639,"SYT6","synaptotagmin 6 [Source:HGNC Symbol;Acc:HGNC:18638]"
"17","ENSG00000203859","male_placenta_mid",9.0236626039563,1.53848872137815,5.8652770596024,"male_placenta_mid",9.33395541699631,1.44408079344326,6.46359639943723,"HSD3B2","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 [Source:HGNC Symbol;Acc:HGNC:5218]"
"18","ENSG00000198019","male_placenta_mid",5.67591147968487,1.76808775349623,3.21019783574728,"male_placenta_mid",5.9144463142638,1.69804462043916,3.48309240114913,"FCGR1B","Fc fragment of IgG receptor Ib [Source:HGNC Symbol;Acc:HGNC:3614]"
"19","ENSG00000143127","male_placenta_mid",1.01817872415298,0.321970272494786,3.1623376787665,"male_placenta_mid",1.06417226167814,0.324586969887693,3.27854276481383,"ITGA10","integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]"
"20","ENSG00000162706","male_placenta_mid",156.206853473737,19.8445370478204,7.87152923231806,"male_placenta_mid",160.514906199206,18.9391182944924,8.47531039741616,"CADM3","cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601]"
"21","ENSG00000143226","male_placenta_mid",97.0629284143633,20.5640354463779,4.72003312129379,"male_placenta_mid",99.9268266832755,20.2844595732438,4.92627502953462,"FCGR2A","Fc fragment of IgG receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]"
"22","ENSG00000173110","male_placenta_mid",9.6997421252297,0.883412220821667,10.9798595679466,"male_placenta_mid",9.66331239425951,0.911111627132832,10.6060685721561,"HSPA6","heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]"
"23","ENSG00000072694","male_placenta_mid",41.8609791097313,12.024128762335,3.48141474007321,"male_placenta_mid",42.7008459980508,11.5055050632228,3.7113404203822,"FCGR2B","Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]"
"24","ENSG00000007908","male_placenta_mid",2.83854878933439,0.180479179333817,15.7278462801749,"male_placenta_mid",2.97307459077999,0.18090842309402,16.4341413182008,"SELE","selectin E [Source:HGNC Symbol;Acc:HGNC:10718]"
"25","ENSG00000120337","male_placenta_mid",3.72927604401993,0.958889529353446,3.88916129528965,"male_placenta_mid",3.93983808288558,0.930129471351068,4.23579534273087,"TNFSF18","TNF superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11932]"
"26","ENSG00000116701","male_placenta_mid",53.5972066986298,17.0581410717401,3.14203092079144,"male_placenta_mid",54.8031644426727,16.1602008639473,3.39124277625386,"NCF2","neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]"
"27","ENSG00000073756","male_placenta_mid",1.29875001525504,0.417617126900038,3.10990601581796,"male_placenta_mid",1.32030446609158,0.421502043324026,3.13237975237194,"PTGS2","prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]"
"28","ENSG00000081277","male_placenta_mid",16.2201529025203,4.18397699616552,3.87673089918648,"male_placenta_mid",16.6110403719133,3.90061875355523,4.25856547932892,"PKP1","plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]"
"29","ENSG00000188783","male_placenta_mid",2.71750087964522,0.821804816034969,3.30674732810228,"male_placenta_mid",2.77484290672271,0.823441729607528,3.36981088879873,"PRELP","proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357]"
"30","ENSG00000163531","male_placenta_mid",46.3526140854982,7.78029500102237,5.95769364521618,"male_placenta_mid",48.316281486601,7.5149014332736,6.42939656835309,"NFASC","neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]"
"31","ENSG00000162892","male_placenta_mid",1.12878047928332,0.21127714592246,5.34265300846874,"male_placenta_mid",1.12404208028945,0.185229333675171,6.06838052044519,"IL24","interleukin 24 [Source:HGNC Symbol;Acc:HGNC:11346]"
"32","ENSG00000123843","male_placenta_mid",1.85163305043102,0.368038103680875,5.03109061782518,"male_placenta_mid",1.94734313584221,0.371634825296237,5.23993717297604,"C4BPB","complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328]"
"33","ENSG00000203710","male_placenta_mid",26.4066267039555,3.14092856985722,8.40726750597703,"male_placenta_mid",27.3175887540273,3.12856871118979,8.73165695748407,"CR1","complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]"
"34","ENSG00000174059","male_placenta_mid",120.317160598293,37.7335699162276,3.1885973382696,"male_placenta_mid",125.416838382719,37.1033065346479,3.38020651247354,"CD34","CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]"
"35","ENSG00000197769","male_placenta_mid",3.52050266152022,0.51944787002096,6.77739358403407,"male_placenta_mid",3.58639506638524,0.501286189727899,7.15438633634004,"MAP1LC3C","microtubule associated protein 1 light chain 3 gamma [Source:HGNC Symbol;Acc:HGNC:13353]"
"36","ENSG00000143954","male_placenta_mid",1.66618077856189,0.00606863425209562,274.55613723739,"male_placenta_mid",1.77185388894008,0.00494107901623349,358.596550089324,"REG3G","regenerating family member 3 gamma [Source:HGNC Symbol;Acc:HGNC:29595]"
"37","ENSG00000119147","male_placenta_mid",6.10116944981998,1.93272969784442,3.15676292273288,"male_placenta_mid",6.21476724733552,1.81632547602096,3.4216154149587,"C2orf40","ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]"
