"","ensembl","tissue_TMM","nCPM_1_TMM","nCPM_termF_placenta_TMM","nCPM_ratio_TMM","tissue_DESq","nCPM_1_DESq","nCPM_termF_placenta_DESq","nCPM_ratio_DESq","hgnc_symbol","description"
"1","ENSG00000213934","termM_placenta",33.0307937252605,8.5025360143667,3.88481667933526,"termM_placenta",37.2938223588341,7.77761341559411,4.79502134730173,"HBG1","hemoglobin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:4831]"
"2","ENSG00000170959","termM_placenta",2.03622400279275,0.362944102580058,5.61029642944426,"termM_placenta",1.9682447603988,0.354588705140467,5.5507824470018,"DCDC1","doublecortin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20625]"
"3","ENSG00000007350","termM_placenta",1.185701862125,0.147550972888516,8.03587966187706,"termM_placenta",1.36708961437732,0.143372988573096,9.53519646889648,"TKTL1","transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]"
"4","ENSG00000129824","termM_placenta",92.560342464302,0,Inf,"termM_placenta",87.9881858842856,0,Inf,"RPS4Y1","ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]"
"5","ENSG00000067646","termM_placenta",67.2417331800113,0,Inf,"termM_placenta",62.6504882570127,0,Inf,"ZFY","zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]"
"6","ENSG00000099715","termM_placenta",75.3655476249668,0,Inf,"termM_placenta",70.2080484374645,0,Inf,"PCDH11Y","protocadherin 11 Y-linked [Source:HGNC Symbol;Acc:HGNC:15813]"
"7","ENSG00000114374","termM_placenta",78.3273809065566,0,Inf,"termM_placenta",76.0481231925646,0,Inf,"USP9Y","ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]"
"8","ENSG00000067048","termM_placenta",146.135692733778,0,Inf,"termM_placenta",137.923264744924,0,Inf,"DDX3Y","DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]"
"9","ENSG00000183878","termM_placenta",102.457817670839,0,Inf,"termM_placenta",99.2169027699253,0,Inf,"UTY","ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:HGNC Symbol;Acc:HGNC:12638]"
"10","ENSG00000165246","termM_placenta",3.76247747680169,0,Inf,"termM_placenta",3.35442041824011,0,Inf,"NLGN4Y","neuroligin 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:15529]"
"11","ENSG00000012817","termM_placenta",46.8950709349878,0,Inf,"termM_placenta",46.2039534307742,0,Inf,"KDM5D","lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]"
"12","ENSG00000198692","termM_placenta",21.2073390200518,0,Inf,"termM_placenta",20.0209438265633,0,Inf,"EIF1AY","eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252]"
