"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"5","ENSG00000028137.18","female_heart",5,13.8142402215667,4.0937383819515,3.37448047058186
"10","ENSG00000173369.15","female_heart",5,13.0492768226138,2.53508035568963,5.14748054961119
"13","ENSG00000169442.8","female_heart",5,1.01198618614421,0.168856657303087,5.99316723608806
"28","ENSG00000132854.18","female_heart",5,6.36848696057095,1.99875277613894,3.18623045160852
"29","ENSG00000117228.9","female_heart",5,8.15563507222147,1.37557045573713,5.92891119332095
"30","ENSG00000162645.12","female_heart",5,2.3348607903051,0.259385461560296,9.00150986204115
"33","ENSG00000184371.13","female_heart",5,9.70239510685984,3.22007589526576,3.01309516372721
"37","ENSG00000183508.4","female_heart",5,22.5964687873866,3.5101449471244,6.4374745566841
"38","ENSG00000183598.3","female_heart",5,3.75280851283924,0.0805810294578822,46.5718611202497
"39","ENSG00000143382.14","female_heart",5,26.4993869809715,1.64876360332028,16.0722779952244
"46","ENSG00000160789.19","female_heart",5,133.816790028752,39.4563396784684,3.39151556173815
"49","ENSG00000117091.9","female_heart",5,1.03214538309346,0.159429443818235,6.47399475513573
"51","ENSG00000158869.10","female_heart",5,8.64498627841218,2.25366382521848,3.83596975807787
"54","ENSG00000235750.9","female_heart",5,11.7784506687637,1.7929653556489,6.56925725399803
"55","ENSG00000153029.14","female_heart",5,6.22236180855965,0.498988613825816,12.4699474820716
"57","ENSG00000116701.14","female_heart",5,2.37612556546933,0.656851633794122,3.61744638091908
"59","ENSG00000081237.19","female_heart",5,10.0709515715297,1.46428502253917,6.87772627358162
"63","ENSG00000203710.11","female_heart",5,2.23708248069253,0.20336667827144,11.000241040996
"72","ENSG00000115956.9","female_heart",5,7.0742611904757,2.26590034719281,3.12205309436485
"81","ENSG00000115919.14","female_heart",5,1.67055708100362,0.223557944150026,7.47259099807492
"85","ENSG00000071967.11","female_heart",5,62.5996595922258,14.6039471127839,4.28648906413991
"86","ENSG00000115232.13","female_heart",5,9.20559025220548,2.69356271482758,3.41762610594896
"87","ENSG00000138449.10","female_heart",5,86.6446387320721,24.3805895713018,3.55383689466069
"88","ENSG00000173559.12","female_heart",5,16.6334945578222,5.14219525711063,3.23470691526569
"90","ENSG00000003400.14","female_heart",5,13.0011758540061,3.67934793642996,3.53355433588622
"91","ENSG00000064012.21","female_heart",5,5.48885522925797,1.59185003417691,3.44809819481272
