"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"8","ENSG00000070759.16","male_heart",5,4.49062256561082,1.35652642475361,3.31038340548837
"11","ENSG00000117228.9","male_heart",5,5.86809520969005,0.572487972614627,10.2501633054223
"12","ENSG00000162645.12","male_heart",5,1.62375731247533,0.297376748264957,5.46026991669367
"18","ENSG00000197747.8","male_heart",5,34.55715430623,8.79836517701996,3.92767901888049
"19","ENSG00000197956.9","male_heart",5,76.2454699981331,15.9966692085539,4.76633410393723
"23","ENSG00000153029.14","male_heart",5,3.43908313172843,0.887405528922271,3.8754357727578
"30","ENSG00000115363.13","male_heart",5,2.43517689189818,0.296297067437068,8.21870062016526
"37","ENSG00000071967.11","male_heart",5,44.2834140138586,13.6269951212302,3.2496829726509
"43","ENSG00000135926.14","male_heart",5,58.073096738618,8.63755759606595,6.723323820737
"60","ENSG00000170891.10","male_heart",5,1.93952793162853,0.539943971091644,3.5920910973545
"85","ENSG00000234745.10","male_heart",5,21.4296063628444,5.40306121308269,3.96619722000481
"88","ENSG00000204257.14","male_heart",5,1.16823516400366,0.224712155677793,5.19880716056479
"93","ENSG00000197594.12","male_heart",5,14.1299877360797,2.33456027458388,6.05252641789181
"109","ENSG00000038945.14","male_heart",5,3.05176563829625,0.860682277846302,3.54575168659535
"110","ENSG00000003989.17","male_heart",5,29.4143531242521,5.45145011983524,5.39569334354307
"111","ENSG00000104611.11","male_heart",5,4.552900542209,1.36477412630486,3.33601029976735
"115","ENSG00000104324.15","male_heart",5,23.8095843520375,7.00087202484427,3.40094552043567
"122","ENSG00000086062.12","male_heart",5,66.6050763445307,8.15987154801415,8.16251529850862
"123","ENSG00000165272.15","male_heart",5,3.66458594651158,0.540800433018092,6.77622598425136
"131","ENSG00000138131.3","male_heart",5,8.69180504076594,1.12561487479435,7.72182851826113
"148","ENSG00000110057.7","male_heart",5,5.50906920372643,1.32084153056432,4.17087824409391
"150","ENSG00000110092.3","male_heart",5,85.2158842574723,13.7466275383751,6.19903929306177
"155","ENSG00000159403.16","male_heart",5,28.1677859852753,4.15230777118019,6.78364599579508
"157","ENSG00000139209.15","male_heart",5,7.7687248183449,1.04834480142883,7.41046725061888
"169","ENSG00000120690.15","male_heart",5,35.840893608045,9.96497908002204,3.59668528355463
"183","ENSG00000166825.13","male_heart",5,11.296300791314,1.88199889145221,6.00228875937191
"187","ENSG00000176046.8","male_heart",5,10.5219495450022,1.51770667667674,6.93279518809371
"190","ENSG00000103490.13","male_heart",5,3.45086211656035,0.332877178204244,10.3667729195992
"195","ENSG00000168404.12","male_heart",5,4.25109114617527,0.983825163700443,4.32098232798368
"199","ENSG00000168792.4","male_heart",5,5.14887307295364,1.38008591157102,3.73083518191445
"200","ENSG00000108691.9","male_heart",5,6.70139929497322,1.19572999338068,5.60444191587634
"205","ENSG00000101608.12","male_heart",5,171.289396737248,26.4347948200437,6.47969458069601
"211","ENSG00000089327.14","male_heart",5,14.7684757323588,2.02466932294885,7.29426556967293
"216","ENSG00000125844.15","male_heart",5,140.108661941991,30.4217839782082,4.60553733608634
"218","ENSG00000124216.3","male_heart",5,1.68032688674922,0.459581228596904,3.65621305265064
"220","ENSG00000159216.18","male_heart",5,6.09143162647312,1.98462535629964,3.06931059161245
"225","ENSG00000128340.14","male_heart",5,2.80399921454945,0.803669162770242,3.48899689629012
"227","ENSG00000239713.8","male_heart",5,3.09108835351061,0.5815128348742,5.31559781338156
"231","ENSG00000133138.19","male_heart",5,7.34034800238752,1.52264680144902,4.82078180928244
"237","ENSG00000180758.11","male_liver",5,2.52575077986883,0.547742544146392,4.61120065779259
"240","ENSG00000142798.19","male_liver",5,68.8813590247425,21.7968111912287,3.16015762215994
"251","ENSG00000117226.11","male_liver",5,2.67661912126981,0.873070330428171,3.06575430178362
"252","ENSG00000069702.10","male_liver",5,26.0379554498641,8.18065594552902,3.18286890724143
"257","ENSG00000163191.5","male_liver",5,40.7008523370025,4.8297636822494,8.42708981530264
"260","ENSG00000160789.19","male_liver",5,140.072357478752,41.194464924191,3.40027131646262
"270","ENSG00000196187.11","male_liver",5,27.2168393502079,7.40143731674354,3.67723702646754
"272","ENSG00000116962.14","male_liver",5,207.119192042961,58.0659068058889,3.56696732103658
"275","ENSG00000138080.13","male_liver",5,35.9340425869732,4.03844473102257,8.89799043451918
"286","ENSG00000204262.12","male_liver",5,229.066064097742,60.1549361657984,3.80793462179716
"288","ENSG00000175084.11","male_liver",5,2.24354643230259,0.472690317214787,4.74633465208711
"294","ENSG00000163513.17","male_liver",5,58.3003779835258,15.0064678166199,3.88501669386564
"315","ENSG00000075420.12","male_liver",5,90.9769925436792,27.9345706858671,3.25678864252985
"341","ENSG00000168938.5","male_liver",5,16.568534639419,2.55706029400299,6.47952442821813
"347","ENSG00000256235.2","male_liver",5,8.99173767959407,2.62160562933113,3.4298590066303
"352","ENSG00000087116.15","male_liver",5,23.61610888714,6.84577986371147,3.44973244207365
"356","ENSG00000112343.10","male_liver",5,9.87211314291873,2.59645199107396,3.80215508580822
"361","ENSG00000007866.20","male_liver",5,8.72509608346517,2.75553351110299,3.16639084529684
"366","ENSG00000112208.11","male_liver",5,23.1692164082128,5.70369696828443,4.06214014121821
"370","ENSG00000112297.14","male_liver",5,7.10119411373243,2.11384529509671,3.35937267036732
"377","ENSG00000106333.12","male_liver",5,45.3363798794723,10.9149514460082,4.15360344054051
"383","ENSG00000182158.14","male_liver",5,71.7754214092598,12.0690886844603,5.94704565404968
"388","ENSG00000147459.17","male_liver",5,15.2474594299753,4.82583322307214,3.15954960007274
"398","ENSG00000104415.14","male_liver",5,3.85320311489772,1.25805630490703,3.06282246658465
"417","ENSG00000122359.17","male_liver",5,32.4271495836349,8.53883813797685,3.79760677736866
"427","ENSG00000185201.16","male_liver",5,27.9242814274073,4.9072610468997,5.69040064519275
"428","ENSG00000142089.15","male_liver",5,79.0393970736668,18.9038008525012,4.18113784049989
