"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"51","ENSG00000278637.1","male_brain",5,6.52225957713066,1.66388104238704,3.919907379781
"52","ENSG00000278705.1","male_brain",5,16.170928493408,3.26848543643766,4.94752961513354
"54","ENSG00000276410.3","male_brain",5,12.6923710070357,1.65770674575766,7.65658403666241
"58","ENSG00000180596.7","male_brain",5,23.864471412238,7.35884514767235,3.24296420611412
"62","ENSG00000274290.2","male_brain",5,9.34004988793719,3.028730901931,3.0838163542302
"63","ENSG00000277157.1","male_brain",5,14.2918496374864,3.73891063866649,3.82246355119728
"64","ENSG00000277224.2","male_brain",5,13.2785405059371,2.16315033897652,6.1385194855295
"67","ENSG00000274618.1","male_brain",5,13.5408522289528,2.29121814947027,5.90989218206195
"70","ENSG00000278588.1","male_brain",5,7.1818696308345,1.84984161767202,3.88242407470144
"77","ENSG00000185130.5","male_brain",5,6.67799892206541,1.07319928960577,6.22251522782736
"78","ENSG00000196747.4","male_brain",5,6.22899292828739,1.16235090306428,5.35896080251328
"81","ENSG00000273703.1","male_brain",5,11.9546302827586,1.07857591698605,11.0837170517995
"83","ENSG00000184357.4","male_brain",5,36.5178612902127,10.1158167515917,3.60997655324932
"84","ENSG00000275379.1","male_brain",5,4.93162207074087,1.05208228449759,4.68748703728617
"85","ENSG00000275126.1","male_brain",5,4.40406735557394,0.702672461356663,6.26759635217655
"87","ENSG00000274641.1","male_brain",5,7.75991527693066,1.34418140664284,5.77296727851
"232","ENSG00000273542.1","male_liver",5,1.67794778125191,0.323190293295003,5.19182604200401
"283","ENSG00000149269.9","male_liver",5,58.4936342369181,11.6722412804499,5.01134553608744
"309","ENSG00000166128.12","male_liver",5,54.2499154573313,16.0943039940967,3.37075250207961
"408","ENSG00000162105.18","male_lung",5,3.5222618678339,0.316493951819953,11.1290021423147
"449","ENSG00000101888.11","male_lung",5,7.60767186970107,2.2011219590865,3.4562700346047
"502","ENSG00000118242.15","male_muscle",5,1.82443027519474,0.38598239461006,4.7267188884039
"524","ENSG00000163347.5","male_muscle",5,9.00569178824409,1.85501022612302,4.85479360783149
"599","ENSG00000173599.13","male_muscle",5,21.6286177753694,6.88188432338272,3.1428336715689
"602","ENSG00000137642.12","male_muscle",5,18.7641893292183,6.22265666866299,3.01546274016914
"731","ENSG00000276966.2","male_placenta",5,73.5754743676443,5.25251819911624,14.007657199555
"732","ENSG00000277075.2","male_placenta",5,53.0104029749121,8.05555260411344,6.58060415965047
"791","ENSG00000131171.12","male_placenta",5,79.7137804225133,24.5639891305804,3.24514800909415
