"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"4","ENSG00000162493.16","female_brain",5,23.7838249329872,0.53810635444197,44.1991155403687
"5","ENSG00000117122.13","female_brain",5,26.4806926801671,3.75497599173601,7.052160316989
"8","ENSG00000125945.14","female_brain",5,2.47509019456141,0.33500383352853,7.38824439258431
"12","ENSG00000084636.17","female_brain",5,53.8527652049396,8.89306469030143,6.05559130404957
"14","ENSG00000162520.14","female_brain",5,3.09048444681726,0.379021643952701,8.15384687425114
"30","ENSG00000134245.17","female_brain",5,6.40321885227478,1.44015027320848,4.44621576747625
"32","ENSG00000134247.9","female_brain",5,67.2144839257162,14.5152451601785,4.63061306812193
"39","ENSG00000014914.20","female_brain",5,10.2971272317494,3.41782433447508,3.01277251960665
"42","ENSG00000116539.12","female_brain",5,136.701628764016,44.5372113572175,3.06938006664988
"43","ENSG00000143320.8","female_brain",5,9.02446587156367,0.755346993256044,11.9474439590502
"44","ENSG00000183853.17","female_brain",5,54.9845746144638,9.87827905467221,5.56620989447117
"49","ENSG00000116132.11","female_brain",5,3.62269867666456,0.248851935537042,14.5576471762074
"50","ENSG00000185278.15","female_brain",5,66.2160334474801,17.9484834871622,3.68922719821102
"51","ENSG00000116194.12","female_brain",5,3.88608360524193,1.13404702163915,3.42673939536034
"82","ENSG00000170745.11","female_brain",5,3.05273286561103,0.335806008795375,9.09076307646189
"87","ENSG00000115295.19","female_brain",5,18.165601363893,5.49445195929354,3.30617166160985
"92","ENSG00000138061.11","female_brain",5,2.00717199146357,0.510827705086186,3.92925436791828
"94","ENSG00000243244.6","female_brain",5,11.5963686644885,2.43905103101769,4.75445922082653
"96","ENSG00000115380.19","female_brain",5,7.67526895878806,1.46448103373966,5.24094800954076
"98","ENSG00000169604.19","female_brain",5,57.900486029506,7.49385139571947,7.72639901327361
"100","ENSG00000163017.13","female_brain",5,5.14777282993863,1.04519955614531,4.92515787982497
"103","ENSG00000249715.11","female_brain",5,1.12955968008891,0.25390352751208,4.44877505703488
"104","ENSG00000196872.11","female_brain",5,1.80747744644484,0.288417490398194,6.26687876643475
"117","ENSG00000123636.17","female_brain",5,99.0100242320352,31.0433807330907,3.18940855969645
"120","ENSG00000078098.13","female_brain",5,2.00439933202863,0.478329087743946,4.19041907211297
"122","ENSG00000136546.14","female_brain",5,12.781291608115,0.372695666751864,34.2941781950597
"128","ENSG00000144366.15","female_brain",5,34.1255311771291,5.74605069537168,5.93895407233641
"134","ENSG00000030419.16","female_brain",5,15.7564504988718,4.13786625308647,3.80786848466137
"136","ENSG00000115461.4","female_brain",5,139.524537782245,7.99740881531338,17.446218019402
"148","ENSG00000150995.19","female_brain",5,46.9425977172232,13.3705539919516,3.51089399477989
"150","ENSG00000131378.13","female_brain",5,19.1293420791873,6.24672071667854,3.06230147733555
"152","ENSG00000077092.18","female_brain",5,12.3484229178513,4.02648537724107,3.06679939473973
"162","ENSG00000114251.14","female_brain",5,15.1058481972437,3.11450366135373,4.8501622857871
"166","ENSG00000144724.19","female_brain",5,78.6438433730904,22.4327512856565,3.50576005464721
"169","ENSG00000121440.14","female_brain",5,26.1282153308488,1.90915405581675,13.6857553486803
"174","ENSG00000114423.20","female_brain",5,85.5215389089592,27.2088363735991,3.14315311888682
"188","ENSG00000114019.14","female_brain",5,60.9783339751851,9.54299519600623,6.38985273729413
"194","ENSG00000152580.8","female_brain",5,4.18530592932759,0.687799804423656,6.08506414571414
"199","ENSG00000114796.15","female_brain",5,93.1095498446044,23.8934680354744,3.89686209244993
"200","ENSG00000182580.2","female_brain",5,13.9383293802322,1.60459134113933,8.68652910113262
"212","ENSG00000134853.11","female_brain",5,61.4897812877757,11.1967078266214,5.49177331765119
"214","ENSG00000169116.11","female_brain",5,13.6482846660059,1.57891147346921,8.64411013241779
"218","ENSG00000152583.12","female_brain",5,109.873494999174,2.8361120189663,38.7408869129296
"219","ENSG00000118785.13","female_brain",5,69.5576834587054,15.6636302846613,4.44071279739156
"221","ENSG00000145358.6","female_brain",5,1.16123604703113,0.0339217882628531,34.232748522364
"222","ENSG00000168769.13","female_brain",5,67.385371276731,20.3811263093658,3.30626336611069
"224","ENSG00000155011.8","female_brain",5,1.96537184552329,0.337965005563378,5.81531168366699
"228","ENSG00000138685.15","female_brain",5,13.1299376267149,2.79755568717018,4.69336059579792
"236","ENSG00000038295.7","female_brain",5,1.96963490720329,0.183412725369702,10.7388127145111
"237","ENSG00000129116.18","female_brain",5,59.8806994588544,17.2854054202851,3.46423459576956
"240","ENSG00000154553.14","female_brain",5,26.0718417067614,1.84140201504881,14.1586907658892
"243","ENSG00000164236.11","female_brain",5,8.49776309190445,2.71247698011972,3.13284247357166
"248","ENSG00000070193.4","female_brain",5,2.99311460147267,0.316157487121672,9.46716343402863
"263","ENSG00000038427.15","female_brain",5,447.944804493058,16.5121286788112,27.1282287829959
"272","ENSG00000138829.11","female_brain",5,23.874440722376,7.00444215942831,3.40847139272039
"273","ENSG00000113396.12","female_brain",5,1.3085019375951,0.0811085068246562,16.1327336530048
"274","ENSG00000145808.9","female_brain",5,1.48302925953323,0.09085478714273,16.323072302216
"276","ENSG00000131435.12","female_brain",5,4.29770070517246,0.643108675072841,6.68269745340581
"289","ENSG00000171992.12","female_brain",5,14.3892139832468,3.50505689059598,4.10527259111054
