"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"6","ENSG00000117122.13","male_brain",5,20.9487982602868,4.70945132412671,4.44824605213887
"12","ENSG00000084636.17","male_brain",5,31.3191425548865,7.50521933766119,4.17298164728205
"17","ENSG00000116729.13","male_brain",5,69.6473624084431,5.81404676344242,11.9791541489436
"28","ENSG00000134245.17","male_brain",5,9.24603145041492,1.12600321305995,8.21137217298744
"35","ENSG00000162733.17","male_brain",5,27.6374855640634,4.80602640332255,5.75058962326066
"36","ENSG00000116132.11","male_brain",5,8.64911579418605,0.0401966112277519,215.170272568019
"41","ENSG00000058085.14","male_brain",5,2.08513366531816,0.317640421290205,6.56444685738886
"46","ENSG00000162909.17","male_brain",5,81.6651822469491,24.8225375215119,3.28996107574319
"49","ENSG00000162885.12","male_brain",5,7.12464732656766,1.42798797505805,4.98929084208712
"52","ENSG00000143867.6","male_brain",5,2.64334344835518,0.576333612883664,4.58648149138709
"56","ENSG00000115760.14","male_brain",5,284.198199073952,82.2995277363642,3.45321786030588
"60","ENSG00000115380.19","male_brain",5,4.97262618039735,1.24529472533011,3.9931319704893
"62","ENSG00000169604.19","male_brain",5,57.5261260899559,6.86832679711992,8.37556624621854
"64","ENSG00000249715.11","male_brain",5,1.86604573203964,0.223840902854961,8.33648233293964
"65","ENSG00000170485.16","male_brain",5,14.7137927594412,2.63490991695942,5.58417297864222
"70","ENSG00000136546.14","male_brain",5,11.7781609738621,0.276650882034084,42.5740951457043
"73","ENSG00000144426.18","male_brain",5,57.5523072134215,11.2068433707837,5.13546101335374
"78","ENSG00000115461.4","male_brain",5,112.567148125105,8.41208810196735,13.3815940537735
"86","ENSG00000144642.21","male_brain",5,31.5670299633199,9.74973204716265,3.23773307929078
"90","ENSG00000168038.10","male_brain",5,11.5647165154793,2.79780525864661,4.13349588208063
"92","ENSG00000173421.16","male_brain",5,1.30635296967764,0.225442698947869,5.79461200462171
"94","ENSG00000144724.19","male_brain",5,112.193141963368,16.429698894292,6.82867913071408
"96","ENSG00000172986.12","male_brain",5,4.35924405540191,1.41668326569579,3.07707739687382
"97","ENSG00000121440.14","male_brain",5,41.1035479299311,1.51630345656586,27.1077321310227
"99","ENSG00000080200.9","male_brain",5,32.7113735141286,6.97521920285605,4.68965527287439
"100","ENSG00000144810.15","male_brain",5,2.21288039104845,0.256773247431725,8.6180332771499
"103","ENSG00000091986.15","male_brain",5,24.5518405459602,4.6010652839695,5.336120883027
"105","ENSG00000031081.10","male_brain",5,22.4175772528201,6.91107672065247,3.24371702976894
"108","ENSG00000173706.13","male_brain",5,51.8254754255074,13.0280044380223,3.97800566249843
"112","ENSG00000114019.14","male_brain",5,64.8414990425169,8.29293801306885,7.81888143144602
"122","ENSG00000181826.9","male_brain",5,11.7651698024664,3.53885913457824,3.32456573009894
"125","ENSG00000134853.11","male_brain",5,67.7563121870872,9.54561960841016,7.09815758082279
"127","ENSG00000134852.14","male_brain",5,68.4533293385915,16.9862910141177,4.02991620016979
"131","ENSG00000168769.13","male_brain",5,100.858441355493,19.6445193910973,5.1341770876411
"134","ENSG00000138735.15","male_brain",5,34.3202886347614,7.53561859084355,4.55440893418672
"137","ENSG00000109452.12","male_brain",5,16.2497355653063,2.54070486167032,6.3957588346658
"145","ENSG00000129116.18","male_brain",5,56.9193904034873,15.2685532908034,3.727883665165
"158","ENSG00000138829.11","male_brain",5,30.4544394744189,6.46171867587231,4.71305561291828
"160","ENSG00000131435.12","male_brain",5,5.55665106341421,0.577686529633058,9.6187997787377
"166","ENSG00000171992.12","male_brain",5,22.7565949758966,2.96816102207209,7.66690041634267
"167","ENSG00000135074.15","male_brain",5,33.9381160272802,6.7286933817166,5.04378994583077
"183","ENSG00000112276.13","male_brain",5,4.05533646619039,0.328116254760417,12.3594500648909
"187","ENSG00000112769.18","male_brain",5,54.3936935416858,15.1060673888043,3.60078451536626
"190","ENSG00000146373.16","male_brain",5,33.867735419388,10.1135671119294,3.34874283668316
"191","ENSG00000196569.12","male_brain",5,44.6813755175822,7.26721710206033,6.14834741966283
"222","ENSG00000077782.20","male_brain",5,75.6312945921612,11.332969194472,6.67356394377677
"231","ENSG00000164932.12","male_brain",5,5.48256359632167,0.743195329761073,7.37701567377211
"235","ENSG00000173068.17","male_brain",5,8.01135828328772,0.624987638230105,12.8184267867681
"236","ENSG00000137145.20","male_brain",5,74.4644446643408,20.9456297404816,3.55513038218294
"242","ENSG00000213694.4","male_brain",5,21.3842344938531,4.96297367452714,4.30875436708629
"252","ENSG00000185585.19","male_brain",5,7.25608949519649,1.31317539045347,5.52560575529122
"254","ENSG00000136859.9","male_brain",5,8.92989211121301,1.68192552113778,5.30932672046748
"255","ENSG00000167123.18","male_brain",5,32.759740313933,3.22885639125197,10.1459267134611
"259","ENSG00000204740.10","male_brain",5,1.68055267254804,0.245167581637195,6.854709996018
"260","ENSG00000197321.14","male_brain",5,59.4195475785946,10.7561055394901,5.52426223045515
"263","ENSG00000165633.12","male_brain",5,11.5394260480364,1.55148764193392,7.43765257044044
"264","ENSG00000185532.16","male_brain",5,22.1845531111087,2.16255192789134,10.2585065472811
"265","ENSG00000072422.16","male_brain",5,38.4289061408849,8.94735581041457,4.29500144569576
"267","ENSG00000138316.10","male_brain",5,4.8000596440956,0.854524688214516,5.6172275772688
"268","ENSG00000107731.12","male_brain",5,17.7644150158617,4.04266786370422,4.39423064539972
"269","ENSG00000122863.5","male_brain",5,23.6372564446381,2.40548777293354,9.82638810747809
"279","ENSG00000107957.16","male_brain",5,118.100177084407,26.727912175927,4.41860839361692
"282","ENSG00000166033.12","male_brain",5,44.6386816478629,5.19821405027654,8.58731118344158
"287","ENSG00000166394.14","male_brain",5,2.83621212196908,0.531074662079552,5.34051485503602
"291","ENSG00000187079.16","male_brain",5,77.1683640549242,19.9811867059832,3.86205109788683
"294","ENSG00000176971.3","male_brain",5,11.3485141110553,0.821916099524588,13.8073875394575
"303","ENSG00000150687.11","male_brain",5,19.5760296022475,4.8578464859453,4.02977526335688
"304","ENSG00000086991.12","male_brain",5,3.79978143456384,0.841945802570417,4.51309505073047
"305","ENSG00000184384.13","male_brain",5,24.3596220343225,5.15937581545551,4.72142811565508
