"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"8","ENSG00000143543.14","female_brain",5,5.03032426249014,0.674883532245457,7.45361832396971
"9","ENSG00000160783.19","female_brain",5,8.70127053437245,2.85623308697118,3.04641472506696
"14","ENSG00000162881.6","female_brain",5,1.68348128382691,0.411851008956033,4.08759781381677
"33","ENSG00000124743.5","female_brain",5,1.11510607190371,0.367154274837577,3.03715944039332
"39","ENSG00000241468.7","female_brain",5,19.1637875681958,0.76981990002693,24.8938583784667
"51","ENSG00000176340.3","female_brain",5,19.7662753464888,4.35560539581022,4.53812353283944
"53","ENSG00000174669.11","female_brain",5,8.85919253930063,2.36709262567263,3.74264717958944
"59","ENSG00000178449.8","female_brain",5,5.86458608328035,1.91609639131574,3.06069470714533
"60","ENSG00000135441.7","female_brain",5,3.35872982190259,0.339940647554657,9.88034189516145
"66","ENSG00000139292.12","female_brain",5,2.7200152837832,0.46699415358836,5.82451678009829
"75","ENSG00000166831.8","female_brain",5,1.41861844102235,0.298268315259801,4.75618216365586
"79","ENSG00000103184.11","female_brain",5,1.04255928302579,0.24338984251927,4.28349545007511
"81","ENSG00000167397.14","female_brain",5,3.31131795673289,0.270250851504075,12.2527567935636
"85","ENSG00000161970.14","female_brain",5,37.7224368854933,2.01000419160227,18.7673423981385
"88","ENSG00000064300.8","female_brain",5,8.67786000278516,1.50260179612886,5.77522270047983
"90","ENSG00000141449.14","female_brain",5,5.19398783667621,0.604555485489039,8.59141627418147
"94","ENSG00000232388.4","female_brain",5,8.1901197232945,1.32438210881706,6.18410628531514
"96","ENSG00000250479.8","female_brain",5,4.06483681945067,0.676643535825015,6.00735336146308
"118","ENSG00000170382.11","female_heart",5,2.18460276266389,0.459141888299247,4.75801232328441
"122","ENSG00000177614.10","female_heart",5,3.49156193959589,1.06610242433132,3.27507175662401
"129","ENSG00000204128.5","female_heart",5,1.00606683851122,0.184198524217957,5.46186155824337
"130","ENSG00000115468.11","female_heart",5,2.75661496081928,0.276390176852109,9.97363579348296
"163","ENSG00000164976.8","female_heart",5,16.4041939557578,4.50741782670216,3.63937726353625
"168","ENSG00000107954.10","female_heart",5,1.4413438916272,0.378249514712655,3.81056375636634
"190","ENSG00000171766.15","female_heart",5,28.6773457379388,4.95577514895814,5.78665191134987
"210","ENSG00000198300.13","female_heart",5,140.162981986352,18.916676941289,7.40949282061383
"222","ENSG00000186654.20","female_heart",5,5.27609049105164,1.30176936625411,4.05301478727663
"266","ENSG00000144893.12","female_liver",5,6.28137190841684,1.44449026226803,4.3485041557527
"267","ENSG00000169282.17","female_liver",5,2.80688538144661,0.285273827761187,9.83926707709182
"294","ENSG00000025039.14","female_liver",5,15.9469675625438,4.34369387202262,3.67129176972091
"296","ENSG00000135547.8","female_liver",5,2.22490999017571,0.709138302377552,3.1374838768632
"351","ENSG00000036672.15","female_liver",5,2.41853022476351,0.748298808591501,3.23203805350944
"383","ENSG00000167524.14","female_liver",5,3.45478557036826,0.85668999156355,4.03271382225782
"396","ENSG00000267796.7","female_liver",5,1.38233424711582,0.398776250604509,3.46644075473483
"430","ENSG00000183615.5","female_muscle",5,1.37674151953565,0.449303268871739,3.06416982674716
"497","ENSG00000121570.12","female_muscle",5,1.56304620896134,0.264958059372011,5.89922123020521
"501","ENSG00000091513.15","female_muscle",5,3.07192579491376,0.792585937732882,3.87582676990298
"506","ENSG00000127241.16","female_muscle",5,11.9990774205806,2.22365665946534,5.39610167311786
"533","ENSG00000156475.18","female_muscle",5,5.17068351455812,0.293063491908582,17.6435607208661
"541","ENSG00000197977.3","female_muscle",5,3.58877087767882,0.931228536780686,3.85380251563748
"554","ENSG00000106588.10","female_muscle",5,4.07695857776501,1.350367013837,3.01914852480033
"605","ENSG00000166136.15","female_muscle",5,4.8384868702465,0.527043782585679,9.18042680725473
"626","ENSG00000134825.15","female_muscle",5,19.6894990255756,5.50255117050588,3.57824914579857
"634","ENSG00000151366.12","female_muscle",5,14.4706278976471,3.02843863312868,4.77824702780835
"646","ENSG00000257727.5","female_muscle",5,3.10890156763353,0.962839249507789,3.22888952566363
"662","ENSG00000176894.9","female_muscle",5,1.39001832696377,0.208166482583895,6.67743581824498
"751","ENSG00000153391.15","female_muscle",5,5.59570207004519,1.6249659078533,3.44358121176679
"756","ENSG00000174886.12","female_muscle",5,5.16268974592507,1.1136312581167,4.63590592334474
"759","ENSG00000229833.9","female_muscle",5,1.44730890706972,0.412237891645876,3.5108585028205
"766","ENSG00000105393.15","female_muscle",5,10.6935379866964,3.26600123119485,3.27419900658893
"768","ENSG00000205155.7","female_muscle",5,4.99723342544507,0.631521823248141,7.91300196047466
"769","ENSG00000105723.11","female_muscle",5,11.1513826860048,3.23642273659637,3.4455890325787
"778","ENSG00000256060.2","female_muscle",5,3.04387364689029,0.999351021231007,3.04585033909389
"789","ENSG00000149600.11","female_muscle",5,10.9793972608839,3.53170020078796,3.10881349963802
"824","ENSG00000102030.15","female_muscle",5,7.4433982511016,1.68744083985433,4.41105730956717
"830","ENSG00000198899.2","female_muscle",5,671.251444885988,53.1266591887049,12.6349267041565
"831","ENSG00000198938.2","female_muscle",5,1408.87812468999,469.273013133345,3.00225686383047
