"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"3","ENSG00000130940.14","male_brain",5,2.69965300158948,0.385689474415797,6.99955062470564
"5","ENSG00000173372.16","male_brain",5,5.06385421674504,0,Inf
"6","ENSG00000173369.15","male_brain",5,5.24174281266108,0.00314027413638567,1669.19911606638
"9","ENSG00000142910.15","male_brain",5,1.31416823607578,0.198682295827965,6.61442042734241
"10","ENSG00000187513.8","male_brain",5,3.21017692013214,0,Inf
"11","ENSG00000119535.17","male_brain",5,3.16788832017959,0.0120288722770538,263.357050205166
"12","ENSG00000066056.13","male_brain",5,13.7258612578975,1.19327525597337,11.5026781869378
"13","ENSG00000186603.5","male_brain",5,1.26056806603788,0.309482285640011,4.0731509508889
"15","ENSG00000132854.18","male_brain",5,2.44477066832117,0,Inf
"16","ENSG00000162654.8","male_brain",5,2.50289230877041,0.0161544794657153,154.93487822262
"18","ENSG00000143110.11","male_brain",5,3.53197660197943,0.22748458806533,15.5262236972515
"21","ENSG00000169418.9","male_brain",5,1.39334640085146,0.0522464387065834,26.6687344696642
"22","ENSG00000169291.9","male_brain",5,4.70704995988981,0.00287416200214125,1637.71212491956
"24","ENSG00000169242.11","male_brain",5,6.18839933504449,0.816369522994166,7.58038995912971
"26","ENSG00000163554.13","male_brain",5,1.96554124186,0.0357153452020606,55.0335221664496
"27","ENSG00000186517.13","male_brain",5,1.43938989684746,0.0520990502645226,27.6279488693027
"28","ENSG00000158869.10","male_brain",5,2.15457096911733,0.244205762297403,8.82276875388965
"29","ENSG00000143226.13","male_brain",5,2.03597623366499,0.630597967063827,3.22864382697719
"31","ENSG00000198771.10","male_brain",5,7.01741187351052,0,Inf
"32","ENSG00000198734.10","male_brain",5,1.57479265005269,0,Inf
"33","ENSG00000235750.9","male_brain",5,1.34867869236991,0.0234203607907623,57.5857350968679
"35","ENSG00000116701.14","male_brain",5,1.51180061198562,0.423111067651318,3.57305853608982
"36","ENSG00000081237.19","male_brain",5,3.46956931034263,0.0290077321556569,119.608430322121
"38","ENSG00000117266.15","male_brain",5,5.54564947820043,0.654643436505201,8.47125193495524
"40","ENSG00000162711.17","male_brain",5,1.05045261641616,0.0746392374978657,14.0737318819233
"42","ENSG00000152689.17","male_brain",5,9.86302178088897,0.980456094255364,10.0596261665136
"44","ENSG00000115956.9","male_brain",5,2.78677839482283,0.0541299252467423,51.4831376936096
"47","ENSG00000135636.13","male_brain",5,4.36441039150881,0.307240571552125,14.2051890134841
"53","ENSG00000115165.9","male_brain",5,1.54698066918582,0,Inf
"54","ENSG00000082438.15","male_brain",5,24.8943911044664,1.93603649033794,12.8584307313965
"56","ENSG00000187699.10","male_brain",5,4.19664270762135,0.334770253664237,12.5358889019764
"57","ENSG00000115361.7","male_brain",5,4.7282485810526,0,Inf
"59","ENSG00000018280.16","male_brain",5,1.67234963074519,0.12585585587327,13.2878173934883
"60","ENSG00000144476.5","male_brain",5,8.89312138006863,0.161929371845389,54.9197546974976
"62","ENSG00000144668.11","male_brain",5,19.1924837142526,0.140060834173167,137.029625930427
"63","ENSG00000160801.13","male_brain",5,2.8565515415265,0.0811858979048815,35.1853168498952
"64","ENSG00000010327.10","male_brain",5,17.1725828599921,0.0725449686297089,236.716386875099
