"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"7","ENSG00000028137.18","female_heart",5,12.7869584753613,3.51336899713021,3.63951480354211
"13","ENSG00000173372.16","female_heart",5,9.48446250896414,3.11026562434523,3.04940595257384
"14","ENSG00000159189.11","female_heart",5,11.9478267433509,3.39847985521647,3.51563853615659
"15","ENSG00000173369.15","female_heart",5,13.2137189150728,2.24233216321928,5.89284635515466
"18","ENSG00000169442.8","female_heart",5,1.11058614638805,0.132458312002107,8.38442019682679
"26","ENSG00000142694.6","female_heart",5,8.31801450031066,1.78868380298688,4.65035490701074
"28","ENSG00000163874.10","female_heart",5,1.57557173463433,0.313768444232324,5.02144738770393
"41","ENSG00000132854.18","female_heart",5,5.87410986500851,1.6934329661758,3.46875842288209
"43","ENSG00000117228.9","female_heart",5,7.96918787454027,1.03354012308797,7.71057426462579
"44","ENSG00000162645.12","female_heart",5,2.3369487806512,0.2037934450661,11.4672421377106
"48","ENSG00000184371.13","female_heart",5,8.61662178772841,2.75236725806232,3.13062210811015
"53","ENSG00000183508.4","female_heart",5,20.2842101260241,2.89658984851172,7.00278989669394
"56","ENSG00000183598.3","female_heart",5,3.48647977019803,0.0717651643211854,48.5817848140676
"57","ENSG00000143382.14","female_heart",5,23.0594358039533,1.28042070476101,18.0092650159522
"60","ENSG00000197747.8","female_heart",5,58.7539202172533,14.7677031768129,3.97854151818978
"64","ENSG00000160685.13","female_heart",5,7.94838615784398,2.52103031058921,3.15283244491666
"66","ENSG00000160789.19","female_heart",5,127.409676492164,34.7255921849209,3.66904258431883
"68","ENSG00000163563.7","female_heart",5,4.18286203361223,1.37213335043104,3.04843697028298
"74","ENSG00000158869.10","female_heart",5,10.6322396018503,1.96041234012266,5.42347106486029
"79","ENSG00000235750.9","female_heart",5,11.4669235736236,1.46211545342208,7.84269364418882
"83","ENSG00000153029.14","female_heart",5,5.44378076207948,0.413552473054273,13.1634583681115
"85","ENSG00000116701.14","female_heart",5,2.26505173353806,0.559062042592662,4.05152122836642
"87","ENSG00000116711.9","female_heart",5,5.2095672843125,1.65910588433855,3.13998481561015
"88","ENSG00000081237.19","female_heart",5,9.84974861703539,1.26549918869232,7.78329113526611
"93","ENSG00000203710.11","female_heart",5,2.29731598449034,0.182638605971653,12.578479627943
"112","ENSG00000115956.9","female_heart",5,6.92296131774035,1.94093849080743,3.56681128769846
