"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"5","ENSG00000177674.15","male_heart",5,12.9070073199783,2.63544354824391,4.8974706092941
"14","ENSG00000253304.1","male_heart",5,4.14730691336093,0.820848640846703,5.05246242362416
"20","ENSG00000070759.16","male_heart",5,3.87958425569056,1.15363621670296,3.36291822285039
"29","ENSG00000117228.9","male_heart",5,5.08576829801195,0.463137031632646,10.9811307467331
"30","ENSG00000162645.12","male_heart",5,1.41332835134303,0.278419904104568,5.07624753297888
"46","ENSG00000143416.20","male_heart",5,33.5263949169104,5.77288631090363,5.80756195624135
"47","ENSG00000197747.8","male_heart",5,29.712568352796,7.52389471352893,3.94909411735507
"48","ENSG00000163191.5","male_heart",5,39.1082343194544,4.17970565785622,9.35669578692608
"49","ENSG00000197956.9","male_heart",5,65.5650898327251,13.2209506835253,4.95918118160944
"52","ENSG00000160691.18","male_heart",5,54.1347781858018,14.0867642975761,3.8429533597802
"54","ENSG00000160789.19","male_heart",5,166.492710390224,35.7584502170125,4.65603820578928
"62","ENSG00000153029.14","male_heart",5,2.98205107009487,0.715083849669904,4.17021174715586
"83","ENSG00000115363.13","male_heart",5,2.09351873003133,0.243036185403036,8.61402069226675
"92","ENSG00000071967.11","male_heart",5,38.3819664713069,10.8613574626661,3.53380934227032
"95","ENSG00000204262.12","male_heart",5,269.062281412416,47.5192865270105,5.66217005929746
"103","ENSG00000115414.18","male_heart",5,1222.20577756201,306.638773844215,3.98581615181823
"104","ENSG00000135926.14","male_heart",5,50.3540294965801,7.24750069262728,6.94777850077395
"109","ENSG00000135899.17","male_heart",5,9.43023474443858,3.07441227549135,3.06732926472311
"111","ENSG00000067066.16","male_heart",5,27.6138798449883,3.36047294992079,8.21725996801706
"122","ENSG00000172340.14","male_heart",5,29.0061575566847,9.34503172459982,3.10391215476872
"124","ENSG00000181458.10","male_heart",5,8.66345996654053,2.7534666859742,3.14638270754139
"128","ENSG00000173193.14","male_heart",5,55.8438156132417,13.6645008085895,4.08678051218222
"129","ENSG00000065485.19","male_heart",5,12.9959118742075,3.28874820900274,3.95162871959368
"133","ENSG00000188313.12","male_heart",5,23.5524375155025,6.54697532008597,3.59745323053902
"138","ENSG00000170891.10","male_heart",5,1.6426983241368,0.477314163879883,3.44154531427269
"139","ENSG00000109743.10","male_heart",5,2.78091332221702,0.837875715176036,3.31900456338295
"146","ENSG00000150961.14","male_heart",5,47.0697322559092,13.6822574278202,3.44020221109143
"147","ENSG00000164111.14","male_heart",5,152.339102552649,47.9009996985111,3.18029067266803
"168","ENSG00000256235.2","male_heart",5,8.97726327844849,2.26223395763581,3.96831779849611
"177","ENSG00000021355.12","male_heart",5,17.379428219428,2.84929707948059,6.09954937468162
"180","ENSG00000112343.10","male_heart",5,12.6868866270848,2.03693228478641,6.22842827021868
"191","ENSG00000234745.10","male_heart",5,19.3077151052623,4.61439164345751,4.18423848626669
"195","ENSG00000204257.14","male_heart",5,1.00790712461198,0.207530538450998,4.85666896127659
"203","ENSG00000112208.11","male_heart",5,23.1396005259397,4.75579052621004,4.86556344279948
"207","ENSG00000112297.14","male_heart",5,7.65222903364761,1.68724420794364,4.53534171142535
"209","ENSG00000111816.7","male_heart",5,6.94657957688711,1.56490883859881,4.43896756510555
"211","ENSG00000197594.12","male_heart",5,12.1801967027945,1.8190511453709,6.69590667298746
"222","ENSG00000106049.8","male_heart",5,35.3843325624545,8.9245627406251,3.9648253467235
