"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"96","ENSG00000163347.5","male_brain",5,8.73578950710033,1.59648761597891,5.47188053303116
"140","ENSG00000278637.1","male_brain",5,4.94242259021981,1.44813582430857,3.41295512979912
"141","ENSG00000278705.1","male_brain",5,12.1376194432177,2.8741852884873,4.22297737443566
"143","ENSG00000276410.3","male_brain",5,9.65084878806727,1.45310779186286,6.64152297724248
"152","ENSG00000277157.1","male_brain",5,10.7226575743858,3.28495197086611,3.26417484014497
"153","ENSG00000277224.2","male_brain",5,10.0734673932282,1.88410680263464,5.34654796593376
"156","ENSG00000274618.1","male_brain",5,10.0737626568773,2.0300172907076,4.96240239085151
"159","ENSG00000278588.1","male_brain",5,5.40271413043987,1.62945924236122,3.31564852313268
"166","ENSG00000185130.5","male_brain",5,5.07793378157016,0.939293452491327,5.40612070498495
"167","ENSG00000196747.4","male_brain",5,4.73888132372163,1.03506875959668,4.57832514003046
"170","ENSG00000273703.1","male_brain",5,9.07583814399779,0.951455956898876,9.53889465738287
"171","ENSG00000273542.1","male_brain",5,1.34622969929328,0.283178473855295,4.7539972970587
"173","ENSG00000184357.4","male_brain",5,27.6108863347699,8.69389159972103,3.17589493934522
"174","ENSG00000275379.1","male_brain",5,3.72526495830691,0.922334809033185,4.03895084715693
"175","ENSG00000275126.1","male_brain",5,3.30811248638948,0.620749150978172,5.32922595411783
"177","ENSG00000274641.1","male_brain",5,5.92098095466214,1.18508339188488,4.99625679948547
"271","ENSG00000173599.13","male_brain",5,23.0346039021091,5.95154022289741,3.87036011509892
"414","ENSG00000101888.11","male_brain",5,6.93004533173324,1.896601803022,3.6539274193935
"467","ENSG00000196549.10","male_liver",5,4.82969178977559,1.53280567240396,3.15088329638094
"571","ENSG00000149269.9","male_liver",5,77.7231136933438,10.0599817716759,7.72596963467418
"573","ENSG00000154127.9","male_liver",5,10.9352776808055,2.45484328240913,4.45457262350119
"574","ENSG00000109971.13","male_liver",5,1289.8780820189,378.108803022459,3.41139394721335
"578","ENSG00000060982.14","male_liver",5,55.5273380672771,13.8891634542227,3.99788930775346
"597","ENSG00000126821.7","male_liver",5,1.09612561919108,0.309676249028593,3.53958568869734
"607","ENSG00000166128.12","male_liver",5,76.970021672721,13.9082301045563,5.53413490387291
"752","ENSG00000146386.7","male_lung",5,14.7550865271534,3.9344364392776,3.75024142717186
"785","ENSG00000162105.18","male_lung",5,4.15508031965492,0.271617296668591,15.2975542081352
"875","ENSG00000213281.4","male_muscle",5,86.2494873615145,25.7379200248488,3.35106672482642
"921","ENSG00000118242.15","male_muscle",5,1.66214380834252,0.334909728516851,4.96296066317133
"1356","ENSG00000276966.2","male_placenta",5,71.6399288429586,4.57953086725948,15.6435082368666
"1357","ENSG00000277075.2","male_placenta",5,51.7587435463491,7.02528244511569,7.36749646020769
"1438","ENSG00000137642.12","male_placenta",5,18.8082835052552,5.37218075504978,3.50105187499055
"1555","ENSG00000131171.12","male_placenta",5,76.4177534582901,21.1775967343607,3.60842424269521
