"","ensembl","tissue","rank","nCPM_5","nCPM_6","nCPM_ratio"
"12","ENSG00000203747.10","female_brain",5,3.97658767310168,1.26562385080814,3.14199805144515
"14","ENSG00000086619.13","female_brain",5,19.0100907003585,5.52982502810545,3.43773819311449
"29","ENSG00000174640.13","female_brain",5,6.38079404816465,0.930123884862972,6.86015503096631
"32","ENSG00000179299.16","female_brain",5,5.60998282235553,1.38067511800003,4.06321715312857
"49","ENSG00000118526.6","female_brain",5,6.83797659051663,0.844449269456869,8.0975575891192
"55","ENSG00000177459.10","female_brain",5,1.36697074431385,0.172302422163104,7.93355500841338
"86","ENSG00000178401.15","female_brain",5,1.02193994917976,0.194000030822541,5.26773085987067
"120","ENSG00000108375.12","female_brain",5,1.3671097117072,0.0733716772092706,18.6326626800139
"124","ENSG00000070526.14","female_brain",5,1.04261220633038,0.283188896741787,3.68168462226483
"147","ENSG00000275993.2","female_brain",5,4.51781761592253,1.16693111917517,3.87153752409644
"157","ENSG00000165591.6","female_brain",5,2.05147472582347,0.60353072428539,3.39912227045693
"172","ENSG00000076864.19","female_heart",5,8.58321072317928,2.00112535180715,4.28919193664108
"177","ENSG00000117016.9","female_heart",5,4.89373545089835,1.56140793179555,3.134181241971
"185","ENSG00000143375.14","female_heart",5,4.12107474509719,0.798084791235124,5.16370539866995
"210","ENSG00000198203.9","female_heart",5,1.24160356760484,0.163864309774177,7.57702253355783
"221","ENSG00000164050.12","female_heart",5,59.8319358750682,19.4241271657265,3.08028954735431
"248","ENSG00000113645.14","female_heart",5,3.48868200313968,0.85220093663907,4.09373171648746
"289","ENSG00000107249.22","female_heart",5,7.08104363723493,1.69835599689838,4.16935180266486
"343","ENSG00000185950.8","female_heart",5,26.1608226928368,7.80380793025905,3.35231503986649
"350","ENSG00000006432.15","female_heart",5,4.58425695683335,0.82024268207718,5.58890320755339
"360","ENSG00000185033.14","female_heart",5,22.6284876218662,4.72255848493077,4.79157382466973
"366","ENSG00000184697.6","female_heart",5,1.26442262525029,0.121202171000702,10.4323430414705
"415","ENSG00000105376.4","female_heart",5,1.12155391835457,0.0408963646326835,27.424293783273
"423","ENSG00000167642.12","female_heart",5,9.86666048040449,2.36913799217165,4.16466263805947
"512","ENSG00000181072.11","female_liver",5,3.15248384511588,0.833886528149655,3.78047100978002
"568","ENSG00000167037.18","female_liver",5,3.14109756074256,0.888985658310179,3.53335009556092
"591","ENSG00000239887.4","female_lung",5,3.05987652050364,0.616487290017538,4.96340568581161
"592","ENSG00000143153.12","female_lung",5,63.437877750753,18.9417821754455,3.34909762783506
"751","ENSG00000103449.11","female_lung",5,1.1594507680198,0.0314914837433993,36.8179148835064
"783","ENSG00000076944.15","female_lung",5,2.44255395927381,0.791086998730873,3.08759208935598
"833","ENSG00000253368.3","female_placenta",5,3.17774505696957,1.02662218566263,3.09534033196302
"897","ENSG00000124920.13","female_placenta",5,6.98088135366505,1.02509609184799,6.80997753203827
"920","ENSG00000205476.8","female_placenta",5,21.4594080587389,6.69168937987194,3.20687450366227
"980","ENSG00000130700.6","female_placenta",5,2.22136239987991,0.202941505243719,10.9458259768607
"981","ENSG00000160221.17","female_placenta",5,1.39815197622,0.22851249203512,6.1184925330258
