"","ensembl","tissue_r5_TMM","nCPM_5_TMM","nCPM_lung_TMM","nCPM_ratio_TMM","tissue_r5_DESq","nCPM_5_DESq","nCPM_lung_DESq","nCPM_ratio_DESq"
"1","ENSG00000143543.14","female_brain",4.65927999937619,0.790020849480755,5.89766713427693,"female_brain",5.03032426249014,0.674883532245457,7.45361832396971
"2","ENSG00000160783.19","female_brain",7.61280175542401,2.3828216620284,3.19486845228003,"female_brain",8.70127053437245,2.85623308697118,3.04641472506696
"3","ENSG00000162881.6","female_brain",1.29569973913578,0.36428257649296,3.55685345044445,"female_brain",1.68348128382691,0.411851008956033,4.08759781381677
"4","ENSG00000241468.7","female_brain",17.4114860648984,0.816839339259134,21.3156801197779,"female_brain",19.1637875681958,0.76981990002693,24.8938583784667
"5","ENSG00000176340.3","female_brain",18.3260365895654,2.47179254475526,7.41406742586479,"female_brain",19.7662753464888,4.35560539581022,4.53812353283944
"6","ENSG00000174669.11","female_brain",7.8745172148971,2.45425643131931,3.20851444633439,"female_brain",8.85919253930063,2.36709262567263,3.74264717958944
"7","ENSG00000135441.7","female_brain",3.03427862027593,0.318939583735632,9.51364701971591,"female_brain",3.35872982190259,0.339940647554657,9.88034189516145
"8","ENSG00000139292.12","female_brain",2.37345870216087,0.393952505068914,6.02473311280425,"female_brain",2.7200152837832,0.46699415358836,5.82451678009829
"9","ENSG00000166831.8","female_brain",1.21127623376975,0.282320902327101,4.29042349959036,"female_brain",1.41861844102235,0.298268315259801,4.75618216365586
"10","ENSG00000167397.14","female_brain",2.88494702512143,0.241512088989825,11.9453524549778,"female_brain",3.31131795673289,0.270250851504075,12.2527567935636
"11","ENSG00000161970.14","female_brain",35.1335938774178,2.1146039535069,16.6147395209167,"female_brain",37.7224368854933,2.01000419160227,18.7673423981385
"12","ENSG00000064300.8","female_brain",7.81754180984895,1.2051239921664,6.48691907277996,"female_brain",8.67786000278516,1.50260179612886,5.77522270047983
"13","ENSG00000141449.14","female_brain",4.52583500175809,0.566583018214662,7.98794679025022,"female_brain",5.19398783667621,0.604555485489039,8.59141627418147
"14","ENSG00000232388.4","female_brain",7.45158432119201,1.12463669128876,6.62577024110158,"female_brain",8.1901197232945,1.32438210881706,6.18410628531514
"15","ENSG00000250479.8","female_brain",3.76382995772977,0.77125764832803,4.88012010757907,"female_brain",4.06483681945067,0.676643535825015,6.00735336146308
"16","ENSG00000170382.11","female_heart",1.92864100654682,0.364039312035448,5.29789213083399,"female_heart",2.18460276266389,0.459141888299247,4.75801232328441
"17","ENSG00000177614.10","female_heart",3.09095372827842,0.890693804879848,3.47027644218922,"female_heart",3.49156193959589,1.06610242433132,3.27507175662401
"18","ENSG00000115468.11","female_heart",2.47488316008796,0.251061633518824,9.85767170156805,"female_heart",2.75661496081928,0.276390176852109,9.97363579348296
"19","ENSG00000164976.8","female_heart",14.9359517528788,4.31187446057991,3.46391155155989,"female_heart",16.4041939557578,4.50741782670216,3.63937726353625
"20","ENSG00000107954.10","female_heart",1.23673828373186,0.339976712922426,3.63771469257676,"female_heart",1.4413438916272,0.378249514712655,3.81056375636634
"21","ENSG00000171766.15","female_heart",25.7598499366574,4.28234533390986,6.01536025893974,"female_heart",28.6773457379388,4.95577514895814,5.78665191134987
"22","ENSG00000267796.7","female_heart",1.47077596462289,0.357281461817861,4.11657508659847,"female_liver",1.38233424711582,0.398776250604509,3.46644075473483
"23","ENSG00000198300.13","female_heart",128.532346961869,14.3449856336307,8.96008892895193,"female_heart",140.162981986352,18.916676941289,7.40949282061383
"24","ENSG00000186654.20","female_heart",4.43016942798645,1.13340025523733,3.90874221839556,"female_heart",5.27609049105164,1.30176936625411,4.05301478727663
"25","ENSG00000144893.12","female_liver",8.11304436988273,1.45224048608542,5.58657085215398,"female_liver",6.28137190841684,1.44449026226803,4.3485041557527
"26","ENSG00000025039.14","female_liver",21.2256974214043,3.29059286170703,6.45041739086289,"female_liver",15.9469675625438,4.34369387202262,3.67129176972091
"27","ENSG00000121570.12","female_muscle",1.9720510235791,0.281003058154078,7.0178987963106,"female_muscle",1.56304620896134,0.264958059372011,5.89922123020521
