"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"9","ENSG00000169962.4","female_placenta_mid",1,1.25028012185428,0.232062079270481,5.38769679985936
"45","ENSG00000162444.11","female_placenta_mid",1,11.660822813342,2.29168378434534,5.08832103844254
"68","ENSG00000162461.7","female_placenta_mid",1,4.42589977104577,1.03473447075524,4.27732901158242
"90","ENSG00000127472.10","female_placenta_mid",1,9.28381794324645,3.04161184288403,3.05226913321182
"114","ENSG00000184454.6","female_placenta_mid",1,45.6012486249944,10.8584404630885,4.19961308256083
"123","ENSG00000158022.6","female_placenta_mid",1,1.41964863826248,0.429195466024871,3.30769719310179
"155","ENSG00000121753.12","female_placenta_mid",1,18.0727246735021,5.5145231569962,3.27729599803629
"171","ENSG00000189280.3","female_placenta_mid",1,1.66735533794281,0.517347120647714,3.22289478649325
"172","ENSG00000188910.7","female_placenta_mid",1,1.12876997927119,0.205812504339153,5.48445772474116
"207","ENSG00000197273.3","female_placenta_mid",1,1.29883511692964,0.0367533693161344,35.3392121891656
"220","ENSG00000117407.16","female_placenta_mid",1,1.34101886463537,0.4294183754979,3.12287256706351
"280","ENSG00000081985.11","female_placenta_mid",1,15.3847950789969,1.07441608823367,14.3192151043544
"296","ENSG00000122420.9","female_placenta_mid",1,19.5189191088612,2.91766725566929,6.68990580434907
"302","ENSG00000153898.12","female_placenta_mid",1,4.64706213107899,0.967796924339911,4.80169136128278
"303","ENSG00000055732.12","female_placenta_mid",1,6.08239007624491,0.91070513994738,6.67876989976838
"307","ENSG00000137975.7","female_placenta_mid",1,2.57547248380668,0.180959478424585,14.2323160202963
"338","ENSG00000122477.12","female_placenta_mid",1,7.83836995563462,2.08002533363784,3.76840119630936
"348","ENSG00000162631.18","female_placenta_mid",1,1.56959439245816,0.427103325882786,3.67497581343798
"357","ENSG00000143028.8","female_placenta_mid",1,7.0662563193326,0.898836231265375,7.86156150980338
"365","ENSG00000168679.17","female_placenta_mid",1,182.809249418611,59.1211799147895,3.09211097752263
"367","ENSG00000177272.8","female_placenta_mid",1,1.031824417679,0.281486193551996,3.66563064660009
"376","ENSG00000121933.18","female_placenta_mid",1,12.8351075480529,2.604585088765,4.92788951430988
"379","ENSG00000134245.17","female_placenta_mid",1,17.5998972410843,5.53416710386622,3.1802251198358
"387","ENSG00000134207.16","female_placenta_mid",1,1.43555261686115,0.377991453040049,3.79784411873739
"397","ENSG00000203859.9","female_placenta_mid",1,8.9914364168024,0.847672220052005,10.6072090179513
"403","ENSG00000198019.12","female_placenta_mid",1,4.9903783605314,1.32392297450287,3.76938723523948
"493","ENSG00000073754.5","female_placenta_mid",1,15.995226417663,3.35931931854224,4.7614486450797
"498","ENSG00000162706.12","female_placenta_mid",1,133.963887527788,13.5338312883438,9.89844521286195
"523","ENSG00000143226.13","female_placenta_mid",1,97.3056753705784,32.3590599419518,3.0070612541011
"524","ENSG00000173110.7","female_placenta_mid",1,5.82519544526763,0.902188387045198,6.45673955563318
"526","ENSG00000072694.20","female_placenta_mid",1,50.198697071884,8.66063991978407,5.79618798805061
"530","ENSG00000198929.12","female_placenta_mid",1,2.44434883163168,0.808708613293308,3.02253344585703
"547","ENSG00000007908.15","female_placenta_mid",1,1.6908078307566,0.29428519063868,5.74547372596997
"550","ENSG00000010932.16","female_placenta_mid",1,7.42450736192693,1.9451087048674,3.81701410484051
"556","ENSG00000120337.8","female_placenta_mid",1,2.83637934586589,0.824072701444078,3.44190426511582
"570","ENSG00000162782.15","female_placenta_mid",1,1.12190808689139,0.359183749919038,3.12349344073688
"584","ENSG00000116701.14","female_placenta_mid",1,64.6679673493808,11.2072781886637,5.77017597500107
"605","ENSG00000081277.12","female_placenta_mid",1,16.6362782009422,2.36298117188867,7.04037696061931
"617","ENSG00000143847.15","female_placenta_mid",1,5.66843000646675,1.78359416467684,3.17809405229456
"630","ENSG00000163531.15","female_placenta_mid",1,54.1822857148941,9.083604488499,5.96484421833819
"641","ENSG00000123843.12","female_placenta_mid",1,2.36264507563912,0.706466987818847,3.3443106562326
"642","ENSG00000203710.11","female_placenta_mid",1,31.0720691690226,4.56755896417957,6.80277351922567
"688","ENSG00000154342.5","female_placenta_mid",1,19.3588746544827,4.75886894145617,4.06795709077861
"713","ENSG00000198626.15","female_placenta_mid",1,20.8970256003323,6.45981452728113,3.23492656206766
"717","ENSG00000197769.5","female_placenta_mid",1,3.0358230985888,0.668295331841044,4.54263699587068
"718","ENSG00000180287.16","female_placenta_mid",1,1.08400658083674,0.098612909129543,10.9925423598723
"729","ENSG00000162711.17","female_placenta_mid",1,8.96145329955967,2.9845187587452,3.00264599553979
"731","ENSG00000259823.5","female_placenta_mid",1,1.40076191263068,0.309669014279825,4.52341644800443
"799","ENSG00000091106.18","female_placenta_mid",1,6.75737817099256,2.12648522336422,3.17772166801235
"817","ENSG00000152154.10","female_placenta_mid",1,2.28742245671017,0.640980228739289,3.56863184564863
"863","ENSG00000169605.5","female_placenta_mid",1,1.46040830654333,0.353632096536307,4.12973912958546
"894","ENSG00000143954.12","female_placenta_mid",1,1.30206698648585,0.00225882955182339,576.434368602441
"948","ENSG00000119147.9","female_placenta_mid",1,5.33014616081211,1.25293915412994,4.2541141309559
"956","ENSG00000153093.18","female_placenta_mid",1,12.4446296083083,1.21275457384538,10.2614575749231
"965","ENSG00000136689.18","female_placenta_mid",1,6.06601214036902,1.76992657596005,3.42726767469361
"970","ENSG00000019169.10","female_placenta_mid",1,7.63967215311828,2.17031686353481,3.5200722445088
"985","ENSG00000176771.16","female_placenta_mid",1,9.12519524868473,3.02636317525359,3.0152346959879
"999","ENSG00000187123.14","female_placenta_mid",1,28.069838301544,4.92361324335481,5.70106483067667
"1007","ENSG00000182389.19","female_placenta_mid",1,4.35972653978394,1.27940040143201,3.40763261829852
"1008","ENSG00000157827.19","female_placenta_mid",1,209.02776304959,64.5086599830159,3.24030545828457
"1024","ENSG00000184611.11","female_placenta_mid",1,1.47005235348239,0.386006865904352,3.8083580457521
"1025","ENSG00000115290.9","female_placenta_mid",1,3.70671629526471,0.799242444470954,4.63778709565195
"1029","ENSG00000144285.19","female_placenta_mid",1,2.45298459661973,0.209322248041496,11.7186998494945
"1030","ENSG00000169432.15","female_placenta_mid",1,60.780667754723,9.24328882273019,6.57565385225842
"1031","ENSG00000136546.14","female_placenta_mid",1,47.6239859670363,10.8765845338318,4.37857912278446
"1036","ENSG00000128683.13","female_placenta_mid",1,1.51620420145644,0.35269200491668,4.29894690075163
"1104","ENSG00000178562.17","female_placenta_mid",1,40.5850449701396,5.15097352629268,7.87910183637654
