"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"1","ENSG00000187634.11","female_placenta_early",1,4.06929665723534,0.788737478682624,5.15925357576772
"6","ENSG00000186891.13","female_placenta_early",1,2.5154064430323,0.136743511914644,18.3950697756134
"54","ENSG00000162490.6","female_placenta_early",1,5.11417688242955,0.217872629781849,23.4732416253949
"57","ENSG00000120949.14","female_placenta_early",1,10.8190984296111,0.967609635745932,11.1812636314547
"69","ENSG00000142623.10","female_placenta_early",1,3.96515665121377,1.0432706072501,3.80069813494057
"71","ENSG00000179023.8","female_placenta_early",1,2.31732081405478,0.0265044726896378,87.4313117333121
"76","ENSG00000162543.5","female_placenta_early",1,9.1996271361618,2.52253028092678,3.64698382640697
"80","ENSG00000162551.13","female_placenta_early",1,43.1826278301079,1.85149746553582,23.3230823341208
"83","ENSG00000162552.14","female_placenta_early",1,15.0956955980001,3.34536302775764,4.5124237557317
"101","ENSG00000020633.18","female_placenta_early",1,4.73608100773688,0.558593998245837,8.47857481929574
"110","ENSG00000197245.5","female_placenta_early",1,1.51897510191262,0.481159312225745,3.15690679431341
"116","ENSG00000176083.17","female_placenta_early",1,1.61669073800779,0.0319361945422452,50.622522851595
"121","ENSG00000175793.11","female_placenta_early",1,7.87669408985685,1.73177994495072,4.54832273166265
"127","ENSG00000000938.12","female_placenta_early",1,12.9341256102798,2.80239648191587,4.61538033384817
"130","ENSG00000130768.14","female_placenta_early",1,12.2638437316686,1.76509410832678,6.947982928397
"143","ENSG00000162512.15","female_placenta_early",1,136.546769694355,40.4792666795867,3.37325205950962
"144","ENSG00000084628.9","female_placenta_early",1,2.72286539820422,0.518207071951469,5.2543964480269
"155","ENSG00000182866.16","female_placenta_early",1,1.05186628719121,0.251240302331749,4.18669408303083
"181","ENSG00000185090.14","female_placenta_early",1,4.9177316906947,1.18932795209341,4.13488279833892
"192","ENSG00000183682.7","female_placenta_early",1,1.86296690524837,0.123166480086848,15.125599951665
"235","ENSG00000117472.9","female_placenta_early",1,89.3113540394693,0.31529730774536,283.260756896785
"241","ENSG00000142973.13","female_placenta_early",1,17.4149184028009,1.43039382299507,12.1749116382062
"242","ENSG00000162366.7","female_placenta_early",1,27.5303196665838,0.386124932223303,71.2989951414547
"245","ENSG00000269113.3","female_placenta_early",1,1.85307825759858,0.576584699637494,3.2138873243838
"248","ENSG00000085831.15","female_placenta_early",1,23.0054356996286,1.23165942226128,18.678406776925
"267","ENSG00000006555.10","female_placenta_early",1,3.41323955859934,0.398342165699922,8.56861224470671
"268","ENSG00000143001.4","female_placenta_early",1,1.22417624528884,0.125294972558327,9.77035407162059
"270","ENSG00000187889.12","female_placenta_early",1,4.74984583509307,0.398267443813431,11.9262719282627
"271","ENSG00000021852.12","female_placenta_early",1,3.19751882624313,0.0531801171755421,60.1262087424225
"287","ENSG00000118473.21","female_placenta_early",1,2.52967738295521,0.793803296611209,3.18678115063838
"291","ENSG00000116717.12","female_placenta_early",1,48.9291045513453,6.1651326458125,7.93642365255175
"295","ENSG00000116761.11","female_placenta_early",1,3.33216409068648,0.705916380230011,4.72033824969574
"301","ENSG00000117069.14","female_placenta_early",1,12.2778420001721,0.278000439787375,44.1648294138047
"303","ENSG00000154027.18","female_placenta_early",1,1.67584021724437,0.487753317461011,3.43583561044324
"314","ENSG00000171502.14","female_placenta_early",1,2.28303901194496,0.750218972398451,3.04316352417226
"328","ENSG00000162676.11","female_placenta_early",1,1.62201777937121,0.314266975841016,5.16127338875011
"333","ENSG00000198691.12","female_placenta_early",1,40.9898737496708,3.53224399527949,11.604485365238
"340","ENSG00000117600.12","female_placenta_early",1,10.1344180086671,0.733968354317674,13.8077043091162
"341","ENSG00000099260.10","female_placenta_early",1,50.6526745144831,11.2728182951751,4.49334613476056
"351","ENSG00000116299.16","female_placenta_early",1,67.6875510851898,0.648268895782106,104.412769956405
"359","ENSG00000134184.12","female_placenta_early",1,12.2110440486582,3.50814173825998,3.4807727166448
"360","ENSG00000134201.11","female_placenta_early",1,2.31732976894807,0.466291274290437,4.96970433871916
"364","ENSG00000143125.5","female_placenta_early",1,33.1373926662913,10.3571993850166,3.19945493317721
"365","ENSG00000177301.14","female_placenta_early",1,1.33352266330167,0.127515866053536,10.4576999284294
"366","ENSG00000064886.13","female_placenta_early",1,20.1080778055763,3.52139465363908,5.71025965090173
"367","ENSG00000134216.18","female_placenta_early",1,1.53328631136489,0.049863736786229,30.7495268142106
"372","ENSG00000171385.9","female_placenta_early",1,25.5171656704362,2.35887493008203,10.817515309957
