"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"2","ENSG00000186827.10","male_placenta_mid",1,1.65999831174012,0.398726427953265,4.1632512804862
"46","ENSG00000162444.11","male_placenta_mid",1,12.2475297827512,3.54170394568082,3.45808965701024
"65","ENSG00000162493.16","male_placenta_mid",1,123.238647209863,26.5011828412537,4.65030742016619
"106","ENSG00000173372.16","male_placenta_mid",1,131.355112586422,42.5406159023429,3.08775765936167
"127","ENSG00000158022.6","male_placenta_mid",1,1.38824743623949,0.456287252776694,3.04248568810862
"219","ENSG00000197273.3","male_placenta_mid",1,1.47570225924355,0.0506915772518147,29.1113896873414
"231","ENSG00000117407.16","male_placenta_mid",1,1.33653565165828,0.433905411347272,3.08024656228266
"293","ENSG00000081985.11","male_placenta_mid",1,17.3188817615682,2.28582784723415,7.5766343395125
"312","ENSG00000122420.9","male_placenta_mid",1,21.3080044234027,4.62450916367059,4.60762508393215
"320","ENSG00000153898.12","male_placenta_mid",1,4.88331736701873,0.77217991843848,6.32406677564717
"321","ENSG00000055732.12","male_placenta_mid",1,4.8291074865271,1.34164811304076,3.59938454769801
"329","ENSG00000137975.7","male_placenta_mid",1,2.82105088558048,0.225938008254276,12.4859509357346
"377","ENSG00000143028.8","male_placenta_mid",1,7.52507829574235,0.956341608083527,7.86860911638293
"385","ENSG00000184371.13","male_placenta_mid",1,56.6997364204034,17.7523101952218,3.19393565101542
"391","ENSG00000177272.8","male_placenta_mid",1,1.08674462934615,0.194367707709205,5.59117891626338
"400","ENSG00000121933.18","male_placenta_mid",1,15.4402313544979,3.35746445424158,4.59877731095316
"416","ENSG00000134207.16","male_placenta_mid",1,1.2374766410982,0.201263727293635,6.14853286152639
"431","ENSG00000203859.9","male_placenta_mid",1,9.33395541699631,1.44408079344326,6.46359639943723
"435","ENSG00000198019.12","male_placenta_mid",1,5.9144463142638,1.69804462043916,3.48309240114913
"443","ENSG00000143127.12","male_placenta_mid",1,1.06417226167814,0.324586969887693,3.27854276481383
"458","ENSG00000150337.13","male_placenta_mid",1,25.233167257218,7.96890560358667,3.16645327632705
"539","ENSG00000162706.12","male_placenta_mid",1,160.514906199206,18.9391182944924,8.47531039741616
"552","ENSG00000162739.13","male_placenta_mid",1,1.57379076307726,0.518745238306977,3.03384136732247
"553","ENSG00000066294.14","male_placenta_mid",1,40.5621178983188,13.0011937719003,3.11987642134728
"561","ENSG00000158869.10","male_placenta_mid",1,42.3950409992388,13.6233495692815,3.1119395992622
"563","ENSG00000143226.13","male_placenta_mid",1,99.9268266832755,20.2844595732438,4.92627502953462
"564","ENSG00000173110.7","male_placenta_mid",1,9.66331239425951,0.911111627132832,10.6060685721561
"566","ENSG00000072694.20","male_placenta_mid",1,42.7008459980508,11.5055050632228,3.7113404203822
"593","ENSG00000007908.15","male_placenta_mid",1,2.97307459077999,0.18090842309402,16.4341413182008
"602","ENSG00000120337.8","male_placenta_mid",1,3.93983808288558,0.930129471351068,4.23579534273087
"629","ENSG00000116701.14","male_placenta_mid",1,54.8031644426727,16.1602008639473,3.39124277625386
"640","ENSG00000073756.11","male_placenta_mid",1,1.32030446609158,0.421502043324026,3.13237975237194
"654","ENSG00000081277.12","male_placenta_mid",1,16.6110403719133,3.90061875355523,4.25856547932892
"671","ENSG00000188783.5","male_placenta_mid",1,2.77484290672271,0.823441729607528,3.36981088879873
"676","ENSG00000163531.15","male_placenta_mid",1,48.316281486601,7.5149014332736,6.42939656835309
"690","ENSG00000162892.15","male_placenta_mid",1,1.12404208028945,0.185229333675171,6.06838052044519
"691","ENSG00000162894.11","male_placenta_mid",1,1.32284539236956,0.440077293759781,3.00593875468532
