"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"33","ENSG00000187017.16","male_placenta_early",1,5.25712006167378,1.50776948486831,3.48668686721229
"48","ENSG00000162490.6","male_placenta_early",1,1.44950830659125,0.167326237588328,8.66276758195848
"50","ENSG00000120949.14","male_placenta_early",1,3.26415758302709,0.957151425176817,3.41028336495878
"61","ENSG00000142623.10","male_placenta_early",1,4.96158927028691,0.906270289857537,5.47473455305134
"71","ENSG00000162551.13","male_placenta_early",1,42.837330452012,2.33360446392266,18.3567228783942
"77","ENSG00000162552.14","male_placenta_early",1,8.39025407699131,2.6370585364307,3.18167153329393
"113","ENSG00000175793.11","male_placenta_early",1,5.92180757655458,1.77869644969849,3.32929633808984
"121","ENSG00000130768.14","male_placenta_early",1,12.9635979179017,2.0252618827963,6.40094894789741
"135","ENSG00000084628.9","male_placenta_early",1,2.01889010095456,0.477911625625489,4.22440048055379
"219","ENSG00000117472.9","male_placenta_early",1,29.674258974115,0.806510232859867,36.7934066613027
"225","ENSG00000142973.13","male_placenta_early",1,8.54916155130777,1.25276379162268,6.8242406178057
"226","ENSG00000162366.7","male_placenta_early",1,11.4402551738119,0.560851777794821,20.398001088261
"231","ENSG00000085831.15","male_placenta_early",1,14.6318047061913,1.25551006832292,11.6540719786788
"253","ENSG00000006555.10","male_placenta_early",1,1.79867513037673,0.451593739608439,3.98294965722133
"254","ENSG00000187889.12","male_placenta_early",1,2.57062141232989,0.365634820562792,7.03057057961039
"255","ENSG00000021852.12","male_placenta_early",1,1.48185470029208,0.0517531290838522,28.6331421215349
"268","ENSG00000118473.21","male_placenta_early",1,1.94809384596893,0.571871539593391,3.40652351287503
"270","ENSG00000116717.12","male_placenta_early",1,27.5529859134983,6.7336082809706,4.09186052467055
"278","ENSG00000117069.14","male_placenta_early",1,3.7805933938573,0.289935466362646,13.0394306060115
"306","ENSG00000198691.12","male_placenta_early",1,23.7068041294894,4.21042582281085,5.63050036437001
"324","ENSG00000116299.16","male_placenta_early",1,27.602583299846,0.673108156445937,41.0076494178733
"336","ENSG00000171385.9","male_placenta_early",1,10.7650051149598,2.46880422532621,4.36041262588871
"344","ENSG00000116824.4","male_placenta_early",1,1.08342183310518,0.223518518627319,4.84712336033155
"357","ENSG00000174827.13","male_placenta_early",1,1.83043678047345,0.206898507422496,8.84702747872229
"392","ENSG00000143365.17","male_placenta_early",1,9.6236264541358,0.259141735110067,37.1365363053091
"395","ENSG00000203783.4","male_placenta_early",1,1.39671788283816,0.106714013515107,13.088420506651
"400","ENSG00000188015.9","male_placenta_early",1,1.52831243006279,0.250945766264916,6.09021005936954
"423","ENSG00000185499.16","male_placenta_early",1,4.49935409817572,0.43962803831833,10.2344566451828
"429","ENSG00000143627.19","male_placenta_early",1,1.894127496951,0.0259227469929596,73.0681627786372
"442","ENSG00000125462.16","male_placenta_early",1,5.20357425985311,0.861289370527678,6.04160975151137
