"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"1","ENSG00000187634.11","female_placenta_early",1,3.64290892604234,0.766673249146548,4.75157954199861
"7","ENSG00000186891.13","female_placenta_early",1,2.26969312432072,0.140929722987913,16.1051414577419
"60","ENSG00000162490.6","female_placenta_early",1,4.57350867339553,0.229037329930598,19.9683984911166
"64","ENSG00000120949.14","female_placenta_early",1,9.95408249923263,1.02512311805429,9.71013366484773
"77","ENSG00000142623.10","female_placenta_early",1,4.22352285968501,1.13617864666786,3.71730526011168
"79","ENSG00000179023.8","female_placenta_early",1,2.04318836228659,0.0255573813332755,79.9451374005354
"84","ENSG00000162543.5","female_placenta_early",1,8.13814736287486,2.46274852390514,3.30449791518719
"89","ENSG00000162551.13","female_placenta_early",1,45.7441875009718,1.82912780263963,25.0087432026116
"93","ENSG00000162552.14","female_placenta_early",1,13.8593428176624,3.53432266895008,3.92135753178968
"115","ENSG00000020633.18","female_placenta_early",1,4.24673482789933,0.564718202327663,7.52009552799092
"130","ENSG00000176083.17","female_placenta_early",1,1.4257232032394,0.0296970054609489,48.0089888226004
"135","ENSG00000175793.11","female_placenta_early",1,7.62264145787901,1.77677034791346,4.29016696886607
"141","ENSG00000000938.12","female_placenta_early",1,11.6469725887553,2.78081549630533,4.18832986375033
"146","ENSG00000130768.14","female_placenta_early",1,12.8732307017148,1.76975233171311,7.2740295187257
"161","ENSG00000162512.15","female_placenta_early",1,125.889014355322,40.0251381848223,3.14524871279669
"162","ENSG00000084628.9","female_placenta_early",1,2.56614432072781,0.523958327453661,4.89761148219323
"204","ENSG00000185090.14","female_placenta_early",1,4.7181533796996,1.19804850597335,3.93819895953741
"215","ENSG00000183682.7","female_placenta_early",1,1.70517149985309,0.119819002487809,14.2312276387594
"263","ENSG00000117472.9","female_placenta_early",1,78.1225792325551,0.329005875091114,237.450407871653
"269","ENSG00000142973.13","female_placenta_early",1,15.499483391675,1.45856304404748,10.6265433331317
"270","ENSG00000162366.7","female_placenta_early",1,24.4796936954204,0.422663545988097,57.9176840013304
"276","ENSG00000085831.15","female_placenta_early",1,21.3353219248707,1.21804113306188,17.5160931316322
"298","ENSG00000006555.10","female_placenta_early",1,3.08643113261441,0.387001090831006,7.97525176476099
"299","ENSG00000143001.4","female_placenta_early",1,1.14627868325972,0.125879114571604,9.10618641671237
"301","ENSG00000187889.12","female_placenta_early",1,4.2025246520845,0.383846314019493,10.9484564488252
"302","ENSG00000021852.12","female_placenta_early",1,2.85337807810818,0.0540781737979415,52.7639503650694
"319","ENSG00000118473.21","female_placenta_early",1,2.37788690793206,0.758226980776709,3.13611486826308
"323","ENSG00000116717.12","female_placenta_early",1,43.4636427852276,6.06844373988667,7.16223873009644
"328","ENSG00000116761.11","female_placenta_early",1,3.07834665860314,0.685689139580354,4.48942017732278
"336","ENSG00000117069.14","female_placenta_early",1,11.1003275631358,0.28762893149174,38.5925278989349
"338","ENSG00000154027.18","female_placenta_early",1,1.61017957623894,0.481363572991082,3.34503827581646
"364","ENSG00000162676.11","female_placenta_early",1,1.47759314994192,0.308358057262816,4.79180976510873
"371","ENSG00000198691.12","female_placenta_early",1,36.9308017468134,3.46142600935899,10.6692448854778
"379","ENSG00000117600.12","female_placenta_early",1,9.0871668945547,0.721052301073283,12.6026459953439
"380","ENSG00000099260.10","female_placenta_early",1,46.2617930619225,11.1318919145754,4.15578891862489
"395","ENSG00000116299.16","female_placenta_early",1,58.7666212954284,0.64083472051085,91.7032417478594
"403","ENSG00000134184.12","female_placenta_early",1,12.9436724566062,3.37287346565561,3.83758020821283
"404","ENSG00000134201.11","female_placenta_early",1,2.10008932820656,0.479578768712905,4.37902898379506
"409","ENSG00000177301.14","female_placenta_early",1,1.22803886521358,0.114181293398525,10.7551668812104
"410","ENSG00000064886.13","female_placenta_early",1,18.8013119495264,3.64061529587591,5.16432262722857
"411","ENSG00000134216.18","female_placenta_early",1,1.34545625363644,0.0401873289882625,33.4796137864601
"416","ENSG00000171385.9","female_placenta_early",1,22.562569030078,2.34733446750902,9.61199579454107
"435","ENSG00000116824.4","female_placenta_early",1,4.58901684161179,0.332489879662479,13.8019745030142
"446","ENSG00000174827.13","female_placenta_early",1,3.08190781125316,0.248360806813288,12.408994199999
"451","ENSG00000198483.12","female_placenta_early",1,1.73895585102396,0.466919421509039,3.72431681124726
"492","ENSG00000143365.17","female_placenta_early",1,15.9013241709365,0.246193182952475,64.5888077819201
"498","ENSG00000188015.9","female_placenta_early",1,3.6890062084108,0.374628804828754,9.847097075456
"500","ENSG00000189334.8","female_placenta_early",1,1.37589875922222,0.247796644291753,5.55253184785768
"502","ENSG00000160678.11","female_placenta_early",1,18.6741616963315,4.96823204696218,3.75871366711822
"505","ENSG00000169418.9","female_placenta_early",1,54.3849044686862,10.248546793565,5.30659668772105
"527","ENSG00000185499.16","female_placenta_early",1,8.46054883654621,0.367839279847678,23.000667139327
"533","ENSG00000143627.19","female_placenta_early",1,1.36939149928106,0.0153665756614427,89.1149420307799
"556","ENSG00000027869.11","female_placenta_early",1,5.194831542549,0.517123704075523,10.04562641706
"557","ENSG00000198400.11","female_placenta_early",1,4.78075662229782,0.303806671970098,15.7361804837794
"559","ENSG00000163554.13","female_placenta_early",1,14.1713775442164,4.23247713952536,3.34824668321909
"560","ENSG00000163564.14","female_placenta_early",1,1.95877754532726,0.601472816964697,3.2566351962706
"563","ENSG00000181036.13","female_placenta_early",1,1.03134759051601,0.0713425863523035,14.4562685942309
"569","ENSG00000122223.12","female_placenta_early",1,1.07593691005844,0.178017522240293,6.0439944142471
"581","ENSG00000162747.10","female_placenta_early",1,24.061651277933,3.07473839216538,7.8255930128051
"583","ENSG00000198574.5","female_placenta_early",1,5.65249638081285,0.222906833114212,25.3581117359316
"588","ENSG00000117152.13","female_placenta_early",1,2.62220614249846,0.375568156152548,6.98197144657114
"589","ENSG00000143248.12","female_placenta_early",1,63.9351209218506,12.4615942460462,5.13057315617028
"595","ENSG00000198821.10","female_placenta_early",1,7.0108489633605,0.345967828252283,20.2644534862592
"601","ENSG00000143185.3","female_placenta_early",1,2.89925464430263,0.168215005206398,17.2354103651174
"602","ENSG00000143184.4","female_placenta_early",1,4.22345966919021,1.10849642349809,3.81007965353845
"614","ENSG00000117560.7","female_placenta_early",1,3.06831159708916,0.083394728549937,36.7926324653943
"622","ENSG00000198797.6","female_placenta_early",1,15.4950625171951,0.541177672337807,28.6321171571228
"642","ENSG00000000971.15","female_placenta_early",1,23.2855498719584,6.9198486940583,3.36503743094158
"648","ENSG00000116833.13","female_placenta_early",1,7.72935288034721,1.10675831783863,6.9837766346692
"660","ENSG00000143851.15","female_placenta_early",1,5.38554541503925,0.836960415611631,6.43464770207038
"673","ENSG00000174567.7","female_placenta_early",1,15.3427417547112,3.95538865879155,3.8789466922825
"676","ENSG00000174514.12","female_placenta_early",1,14.7247779531106,2.43397509795744,6.04968307418898
"681","ENSG00000196188.10","female_placenta_early",1,4.92707655783214,0.111025239190128,44.3779864269839
"682","ENSG00000263961.7","female_placenta_early",1,3.57615166556374,0.236610061610381,15.1141149333391
"685","ENSG00000143479.16","female_placenta_early",1,5.01109760279503,1.39394305315333,3.59490840853154
"687","ENSG00000162896.5","female_placenta_early",1,69.5832297593122,0.374959015383699,185.575561339969
"688","ENSG00000182795.12","female_placenta_early",1,3.39994162648243,0.460743298336457,7.37925356431257
"690","ENSG00000123838.10","female_placenta_early",1,51.3253576211933,0.306346033993468,167.540467072891
"692","ENSG00000196878.14","female_placenta_early",1,90.2143137949772,14.7950671613554,6.09759407044912
"693","ENSG00000123689.5","female_placenta_early",1,15.0156855162627,3.33172925077698,4.50687447449728
"694","ENSG00000009790.14","female_placenta_early",1,3.61159008048015,0.886420937660426,4.07435105268654
"697","ENSG00000143469.18","female_placenta_early",1,5.73329358087657,0.111663944271127,51.3441793436544
"699","ENSG00000143473.12","female_placenta_early",1,6.1210437386776,0.82025178849202,7.46239608929198
"715","ENSG00000082482.13","female_placenta_early",1,1.82128793503304,0.0505262581293423,36.0463648499503
"719","ENSG00000196660.10","female_placenta_early",1,3.55008192496311,0.438936619069438,8.08791468000418
"735","ENSG00000243709.1","female_placenta_early",1,3.31109922173464,0.304809125087345,10.8628612112115
"738","ENSG00000203685.9","female_placenta_early",1,6.80452835076184,0.917497983744057,7.4163959717867
"775","ENSG00000168243.10","female_placenta_early",1,4.64556341646984,0.746533010115106,6.22285063557143
"796","ENSG00000184731.5","female_placenta_early",1,7.25346202263764,0.284136360537788,25.5281021017829
"806","ENSG00000118004.17","female_placenta_early",1,23.6102163475706,5.48699814886884,4.30293863912418
"814","ENSG00000205795.4","female_placenta_early",1,18.9624593910465,0.187762800592428,100.991566653332
"821","ENSG00000196208.13","female_placenta_early",1,55.0970064741806,11.1432284709517,4.94443837509104
"829","ENSG00000143869.6","female_placenta_early",1,72.3520281933905,3.24017970866293,22.3296343718067
"851","ENSG00000138028.15","female_placenta_early",1,1.14827590527832,0.214704207493973,5.34817607293771
"860","ENSG00000157992.12","female_placenta_early",1,3.28928009874761,0.995597601798271,3.30382485133194
"862","ENSG00000115226.9","female_placenta_early",1,10.725203170497,2.57450235934717,4.16593254675309
"872","ENSG00000189350.12","female_placenta_early",1,1.63778788120168,0.493991242954652,3.31541885521243
"874","ENSG00000158089.14","female_placenta_early",1,2.38971956335009,0.44631265461725,5.35436210160671
"887","ENSG00000115828.16","female_placenta_early",1,17.7459985567072,5.73744607689024,3.09301356716641
"896","ENSG00000162878.12","female_placenta_early",1,58.2038522978702,15.1836738242785,3.83331813969838
"905","ENSG00000138079.13","female_placenta_early",1,6.55848701476421,0.104899066282755,62.5218817209091
"908","ENSG00000170577.7","female_placenta_early",1,1.19450894085488,0.124551990279737,9.59044442543293
"916","ENSG00000119888.10","female_placenta_early",1,45.0976899756501,1.37695964720068,32.7516424082089
"957","ENSG00000075340.22","female_placenta_early",1,5.21877572716378,1.37997819412077,3.78178129871743
"962","ENSG00000124374.8","female_placenta_early",1,31.1405548946839,3.8400405399673,8.10943389023416
"1001","ENSG00000115523.16","female_placenta_early",1,308.974688754436,5.03575114084399,61.3562267301898
"1002","ENSG00000168874.12","female_placenta_early",1,19.5971105304504,2.79139402654879,7.02054613002084
"1034","ENSG00000115085.13","female_placenta_early",1,5.29500905846693,0.381929308156233,13.8638458620226
"1041","ENSG00000170500.12","female_placenta_early",1,26.8832052833065,5.62801794219314,4.77667369923675
"1049","ENSG00000115598.9","female_placenta_early",1,3.06448800696106,0.334109230927582,9.17211415695751
"1051","ENSG00000115616.2","female_placenta_early",1,2.36130312556992,0.265872388743681,8.881340167468
"1072","ENSG00000125538.11","female_placenta_early",1,13.3679265183474,1.5290905319437,8.74240356544147
"1073","ENSG00000125618.16","female_placenta_early",1,33.7103866625758,2.44060096688057,13.81233029079
