"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"40","ENSG00000187017.16","male_placenta_early",1,5.66635139554791,1.4912179339788,3.79981441104937
"57","ENSG00000162490.6","male_placenta_early",1,1.31210818882288,0.167299251231496,7.84288141856227
"60","ENSG00000120949.14","male_placenta_early",1,3.08206483027293,0.964056403787757,3.1969756314709
"75","ENSG00000142623.10","male_placenta_early",1,5.15100288495006,0.968703148074056,5.31742143626881
"88","ENSG00000162551.13","male_placenta_early",1,44.3262143327883,2.35424057772987,18.8282432781491
"94","ENSG00000162552.14","male_placenta_early",1,7.91004199368886,2.62787691957779,3.01005040790104
"119","ENSG00000188672.18","male_placenta_early",1,2.55113607131723,0.802084556466507,3.1806323295339
"139","ENSG00000175793.11","male_placenta_early",1,5.74706422854719,1.82488863839669,3.14926845815449
"149","ENSG00000130768.14","male_placenta_early",1,13.7571673586882,2.05673775651285,6.68882910090256
"165","ENSG00000084628.9","male_placenta_early",1,1.9603360140054,0.474599025143029,4.13050998875233
"266","ENSG00000117472.9","male_placenta_early",1,26.7109244377006,0.797031871084663,33.5129941558677
"274","ENSG00000142973.13","male_placenta_early",1,7.81012720847178,1.22781934444121,6.36097422949972
"275","ENSG00000162366.7","male_placenta_early",1,10.0864343463485,0.570292357417242,17.6864273475946
"281","ENSG00000085831.15","male_placenta_early",1,13.7508802268964,1.27841150641067,10.7562237651506
"307","ENSG00000006555.10","male_placenta_early",1,1.63437828917316,0.442593012759689,3.69273405149883
"308","ENSG00000187889.12","male_placenta_early",1,2.35272169913952,0.353797967567698,6.6499016806515
"309","ENSG00000021852.12","male_placenta_early",1,1.33551449537241,0.0525304601908204,25.4236207054167
"323","ENSG00000118473.21","male_placenta_early",1,1.98618529152092,0.556722008071226,3.56764284997839
"326","ENSG00000116717.12","male_placenta_early",1,25.3526843463327,6.63029132024121,3.82376627538748
"337","ENSG00000117069.14","male_placenta_early",1,3.60127958672411,0.288317246855624,12.4906838768735
"368","ENSG00000198691.12","male_placenta_early",1,22.1211212307801,4.17751599095193,5.29528104229695
"392","ENSG00000116299.16","male_placenta_early",1,25.1808570323217,0.653198663943999,38.5500743070726
"412","ENSG00000171385.9","male_placenta_early",1,9.85245626784946,2.40201846021892,4.10174044497206
"429","ENSG00000116824.4","male_placenta_early",1,1.00850275620389,0.226677350648955,4.44906715786401
"444","ENSG00000174827.13","male_placenta_early",1,1.6520075509611,0.210132258526934,7.8617512729458
"490","ENSG00000143365.17","male_placenta_early",1,8.60643889371202,0.25708722693279,33.476726931914
"493","ENSG00000203783.4","male_placenta_early",1,1.35933102197299,0.111152998091425,12.2293689357341
"498","ENSG00000188015.9","male_placenta_early",1,1.4302316992796,0.255776495392814,5.59172451355662
"523","ENSG00000185499.16","male_placenta_early",1,4.01465754341233,0.44354790817024,9.05123768923615
"530","ENSG00000143627.19","male_placenta_early",1,2.06775136106797,0.0251990870679278,82.0565981415932
"545","ENSG00000125462.16","male_placenta_early",1,5.40088276989796,0.862560568767446,6.26145335812827
"554","ENSG00000027869.11","male_placenta_early",1,1.54460255104319,0.379810934051855,4.0667669426081
"555","ENSG00000198400.11","male_placenta_early",1,1.52089430780835,0.165304553499868,9.20055906269735
"556","ENSG00000163554.13","male_placenta_early",1,19.3517949475746,4.22915759813345,4.57580369105081
"574","ENSG00000162747.10","male_placenta_early",1,15.8445927253634,4.89378599266037,3.23769628445684
"577","ENSG00000198574.5","male_placenta_early",1,1.25476709683068,0.250743652948916,5.00418288588271
"580","ENSG00000117152.13","male_placenta_early",1,1.00062446433904,0.286902259363755,3.48768415612363
"587","ENSG00000198821.10","male_placenta_early",1,1.56350110438694,0.452436793675351,3.45573376489986
"616","ENSG00000198797.6","male_placenta_early",1,4.31403539694295,0.59715634014301,7.22429807227669
"642","ENSG00000116833.13","male_placenta_early",1,4.27346588157394,1.24626539045898,3.42901753855179
"668","ENSG00000174567.7","male_placenta_early",1,16.1764880315722,3.7425736149802,4.32228987208787
"677","ENSG00000196188.10","male_placenta_early",1,9.55504839905742,0.0864068514418705,110.582068893987
"678","ENSG00000263961.7","male_placenta_early",1,1.7902281814122,0.244584175123788,7.31947674254124
"683","ENSG00000162896.5","male_placenta_early",1,32.3744095541369,0.739902475366314,43.7549685694846
"684","ENSG00000182795.12","male_placenta_early",1,1.82509575173757,0.419558320816763,4.35004065271455
"685","ENSG00000123838.10","male_placenta_early",1,19.9426018004378,0.360824297969046,55.2695644741436
"692","ENSG00000143469.18","male_placenta_early",1,2.11545033127155,0.0624952329482985,33.8497871193093
"694","ENSG00000143473.12","male_placenta_early",1,2.22804175254696,0.568531621732534,3.9189407719438
"710","ENSG00000196660.10","male_placenta_early",1,5.41217349442746,0.326091072724989,16.597122543713
"730","ENSG00000203685.9","male_placenta_early",1,3.93375917939475,1.05421438487022,3.73146035175665
"764","ENSG00000168243.10","male_placenta_early",1,2.28665039909147,0.60278245783377,3.79349194618079
"789","ENSG00000184731.5","male_placenta_early",1,3.27307774504002,0.232211158351361,14.0952647076825
"799","ENSG00000176887.6","male_placenta_early",1,1.79318729338799,0.244486079817425,7.334516937435
"807","ENSG00000205795.4","male_placenta_early",1,9.00797723985614,0.33803678124866,26.6479204025726
"823","ENSG00000143869.6","male_placenta_early",1,29.0339466612828,2.9816563207308,9.73752288599332
"825","ENSG00000084674.14","male_placenta_early",1,33.5030179733762,6.39267021609469,5.2408487910148
