"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"1","query_1",TRUE,4.34172716905295e-14,6537,313,169,0.539936102236422,0.0258528376931314,"GO:0007154","GO:BP","cell communication",21031,2749
"2","query_1",TRUE,1.23599900295177e-12,6447,313,164,0.523961661341853,0.0254381883046378,"GO:0023052","GO:BP","signaling",21031,6877
"3","query_1",TRUE,2.63819079332077e-12,8976,311,202,0.64951768488746,0.0225044563279857,"GO:0050896","GO:BP","response to stimulus",21031,13774
"4","query_1",TRUE,5.30421576172291e-10,7669,313,177,0.565495207667732,0.0230799321945495,"GO:0032501","GO:BP","multicellular organismal process",21031,7883
"5","query_1",TRUE,6.85039941167441e-09,2723,307,85,0.276872964169381,0.0312155710613294,"GO:0009605","GO:BP","response to external stimulus",21031,3570
"6","query_1",TRUE,1.03592524625472e-08,7394,313,169,0.539936102236422,0.0228563700297539,"GO:0051716","GO:BP","cellular response to stimulus",21031,14364
"7","query_1",TRUE,1.47044335062698e-08,5959,313,145,0.463258785942492,0.0243329417687531,"GO:0007165","GO:BP","signal transduction",21031,2760
"8","query_1",TRUE,5.50409095124512e-08,920,313,43,0.137380191693291,0.0467391304347826,"GO:0033993","GO:BP","response to lipid",21031,8654
"9","query_1",TRUE,1.16483872330328e-07,5899,312,141,0.451923076923077,0.0239023563315816,"GO:0048856","GO:BP","anatomical structure development",21031,13525
"10","query_1",TRUE,5.48810428112311e-07,4643,311,117,0.37620578778135,0.0251992246392419,"GO:0007275","GO:BP","multicellular organism development",21031,2835
"11","query_1",TRUE,1.05552522798336e-06,2637,313,79,0.252396166134185,0.0299582859309822,"GO:0010033","GO:BP","response to organic substance",21031,3883
"12","query_1",TRUE,2.266999832554e-06,1678,313,58,0.185303514376997,0.034564958283671,"GO:0009719","GO:BP","response to endogenous stimulus",21031,3654
"13","query_1",TRUE,2.69417571142029e-06,1663,309,57,0.184466019417476,0.0342754058929645,"GO:1901700","GO:BP","response to oxygen-containing compound",21031,22187
"14","query_1",TRUE,4.38924524259163e-06,12680,313,238,0.76038338658147,0.0187697160883281,"GO:0065007","GO:BP","biological regulation",21031,16384
"15","query_1",TRUE,1.20865498224259e-05,2799,311,79,0.254019292604502,0.0282243658449446,"GO:0007166","GO:BP","cell surface receptor signaling pathway",21031,2761
"16","query_1",TRUE,1.61024151535088e-05,900,249,33,0.132530120481928,0.0366666666666667,"GO:0098660","GO:BP","inorganic ion transmembrane transport",21031,19358
"17","query_1",TRUE,2.45541247374994e-05,1013,249,35,0.140562248995984,0.0345508390918065,"GO:0034220","GO:BP","monoatomic ion transmembrane transport",21031,8793
"18","query_1",TRUE,2.94383784008042e-05,720,301,32,0.106312292358804,0.0444444444444444,"GO:0009617","GO:BP","response to bacterium",21031,3580
"19","query_1",TRUE,4.06851797156331e-05,6453,312,142,0.455128205128205,0.0220052688671936,"GO:0032502","GO:BP","developmental process",21031,7884
"20","query_1",TRUE,7.09753914114208e-05,2955,211,60,0.28436018957346,0.0203045685279188,"GO:0051239","GO:BP","regulation of multicellular organismal process",21031,14037
"21","query_1",TRUE,9.56915848465655e-05,14,163,5,0.0306748466257669,0.357142857142857,"GO:0002430","GO:BP","complement receptor mediated signaling pathway",21031,960
"22","query_1",TRUE,9.9080791525628e-05,433,294,23,0.0782312925170068,0.0531177829099307,"GO:0042391","GO:BP","regulation of membrane potential",21031,10487
"23","query_1",TRUE,0.000127829081800596,1512,302,49,0.162251655629139,0.0324074074074074,"GO:0007155","GO:BP","cell adhesion",21031,2750
"24","query_1",TRUE,0.000188217058192732,2846,135,42,0.311111111111111,0.0147575544624034,"GO:0065008","GO:BP","regulation of biological quality",21031,16385
"25","query_1",TRUE,0.000234990510945858,923,258,32,0.124031007751938,0.0346695557963164,"GO:0098657","GO:BP","import into cell",21031,19355
"26","query_1",TRUE,0.000285983525337767,2684,312,73,0.233974358974359,0.0271982116244411,"GO:0009653","GO:BP","anatomical structure morphogenesis",21031,3608
"27","query_1",TRUE,0.000351654344323288,877,304,34,0.111842105263158,0.0387685290763968,"GO:0030001","GO:BP","metal ion transport",21031,6883
"28","query_1",TRUE,0.000429806968567148,3973,311,96,0.308681672025723,0.0241631009312862,"GO:0048731","GO:BP","system development",21031,13413
