"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"3866","ENSG00000262406.2","male_placenta",1,39.1469505028478,10.864343535323,3.60325042885198
"7166","ENSG00000129824.15","male_placenta",1,109.002589106294,0,Inf
"7167","ENSG00000067646.11","male_placenta",1,36.0112113880057,0,Inf
"7168","ENSG00000099715.14","male_placenta",1,37.1235456686391,0,Inf
"7169","ENSG00000114374.12","male_placenta",1,41.137144179342,0,Inf
"7170","ENSG00000067048.16","male_placenta",1,98.9211104422802,0,Inf
"7171","ENSG00000183878.15","male_placenta",1,43.0830793762492,0,Inf
"7172","ENSG00000165246.14","male_placenta",1,2.46016289436722,0,Inf
"7173","ENSG00000012817.15","male_placenta",1,33.3242016924981,0,Inf
"7174","ENSG00000198692.9","male_placenta",1,18.4163916373468,0,Inf
