"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"3923","ENSG00000262406.2","male_placenta",1,45.5557838738439,11.4885423454853,3.96532323282476
"6454","ENSG00000167618.9","male_placenta",1,35.6721581253986,10.9353465560413,3.26209671934826
"7250","ENSG00000129824.15","male_placenta",1,108.220151876633,0,Inf
"7251","ENSG00000067646.11","male_placenta",1,35.7318480174956,0,Inf
"7252","ENSG00000099715.14","male_placenta",1,37.0451881479515,0,Inf
"7253","ENSG00000114374.12","male_placenta",1,40.6965874861858,0,Inf
"7254","ENSG00000067048.16","male_placenta",1,99.0195098445001,0,Inf
"7255","ENSG00000183878.15","male_placenta",1,42.7405656348531,0,Inf
"7256","ENSG00000165246.14","male_placenta",1,2.43986034670978,0,Inf
"7257","ENSG00000012817.15","male_placenta",1,32.8350193321707,0,Inf
"7258","ENSG00000198692.9","male_placenta",1,18.1764845688874,0,Inf
