"","ensembl","tissue_TMM","nCPM_1_TMM","nCPM_female_placenta_TMM","nCPM_ratio_TMM","tissue_DESq","nCPM_1_DESq","nCPM_female_placenta_DESq","nCPM_ratio_DESq"
"1","ENSG00000262406.2","male_placenta",45.5557838738439,11.4885423454853,3.96532323282476,"male_placenta",39.1469505028478,10.864343535323,3.60325042885198
"2","ENSG00000129824.15","male_placenta",108.220151876633,0,Inf,"male_placenta",109.002589106294,0,Inf
"3","ENSG00000067646.11","male_placenta",35.7318480174956,0,Inf,"male_placenta",36.0112113880057,0,Inf
"4","ENSG00000099715.14","male_placenta",37.0451881479515,0,Inf,"male_placenta",37.1235456686391,0,Inf
"5","ENSG00000114374.12","male_placenta",40.6965874861858,0,Inf,"male_placenta",41.137144179342,0,Inf
"6","ENSG00000067048.16","male_placenta",99.0195098445001,0,Inf,"male_placenta",98.9211104422802,0,Inf
"7","ENSG00000183878.15","male_placenta",42.7405656348531,0,Inf,"male_placenta",43.0830793762492,0,Inf
"8","ENSG00000165246.14","male_placenta",2.43986034670978,0,Inf,"male_placenta",2.46016289436722,0,Inf
"9","ENSG00000012817.15","male_placenta",32.8350193321707,0,Inf,"male_placenta",33.3242016924981,0,Inf
"10","ENSG00000198692.9","male_placenta",18.1764845688874,0,Inf,"male_placenta",18.4163916373468,0,Inf
