"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"14","ENSG00000189409.13","female_placenta_mid",1,1.18495889683925,0.381112810807064,3.10920772862481
"28","ENSG00000196581.10","female_placenta_mid",1,1.4084951082066,0.294315200244113,4.78566892582631
"53","ENSG00000162444.11","female_placenta_mid",1,11.6608228133421,1.45610655316582,8.00822081872341
"136","ENSG00000158008.9","female_placenta_mid",1,6.53897510074841,2.14348430730837,3.05062886555935
"171","ENSG00000188060.7","female_placenta_mid",1,10.728892303545,2.25000169048262,4.76839299673756
"179","ENSG00000121769.7","female_placenta_mid",1,4.91420952193917,1.07343930474231,4.57800408484099
"183","ENSG00000121753.12","female_placenta_mid",1,18.0727246735022,4.46037682441959,4.05183808115897
"198","ENSG00000160097.17","female_placenta_mid",1,2.03473649142193,0.329678282121909,6.17188514307267
"213","ENSG00000171812.12","female_placenta_mid",1,48.6479062438767,12.9814499282644,3.74749404055059
"221","ENSG00000169218.13","female_placenta_mid",1,1.21420725581438,0.282086262510118,4.30438279769412
"243","ENSG00000049089.14","female_placenta_mid",1,3.32154076015578,1.09787162396383,3.025436387693
"391","ENSG00000137948.18","female_placenta_mid",1,11.8814846784003,0.856827363123494,13.8668361793294
"410","ENSG00000122477.12","female_placenta_mid",1,7.83836995563463,1.87957462821126,4.17028929736841
"413","ENSG00000162692.11","female_placenta_mid",1,97.3153716427007,32.019165919186,3.03928502973243
"430","ENSG00000143028.8","female_placenta_mid",1,7.06625631933267,0.851322868594621,8.30032480038716
"458","ENSG00000116774.11","female_placenta_mid",1,149.597172229682,31.4076957102261,4.7630737896182
"465","ENSG00000173212.4","female_placenta_mid",1,6.32768143078234,1.22385351774528,5.17029312661527
"470","ENSG00000203859.9","female_placenta_mid",1,8.99143641680246,1.77543273395727,5.0643633210262
"472","ENSG00000092621.12","female_placenta_mid",1,25.7785950051563,7.01585550213732,3.67433379967747
"495","ENSG00000159164.9","female_placenta_mid",1,3.15835599120214,0.952577241792029,3.31559043470376
"519","ENSG00000143416.20","female_placenta_mid",1,36.4788679000491,12.0378905683416,3.03033722502718
"528","ENSG00000143556.8","female_placenta_mid",1,2.43499118240805,0.494130145224238,4.92783370118624
"531","ENSG00000160678.11","female_placenta_mid",1,5.09864363739037,0.741439679653352,6.87668029821948
"571","ENSG00000125462.16","female_placenta_mid",1,1.35947046556147,0.435736291491504,3.11993857777618
"577","ENSG00000143297.18","female_placenta_mid",1,2.17630531544619,0.408971717305883,5.32140787089798
"578","ENSG00000073754.5","female_placenta_mid",1,15.9952264176631,0.619455350084578,25.8214355812395
"582","ENSG00000162706.12","female_placenta_mid",1,133.963887527789,38.9963972906898,3.43528881730242
"583","ENSG00000213088.10","female_placenta_mid",1,5.10515128652273,1.62650246296985,3.13872951486417
"603","ENSG00000158874.11","female_placenta_mid",1,2.97128197930585,0.00876377694949053,339.041259999044
"627","ENSG00000143153.12","female_placenta_mid",1,78.2532048190312,23.3600761758876,3.34986941951005
"637","ENSG00000116132.11","female_placenta_mid",1,21.5902168746214,5.16961042059949,4.17637212827301
"638","ENSG00000010932.16","female_placenta_mid",1,7.42450736192696,0.686367691540793,10.8170991342265
"643","ENSG00000120337.8","female_placenta_mid",1,2.83637934586589,0.213827490609827,13.2648020971329
"667","ENSG00000135838.13","female_placenta_mid",1,102.620722585347,30.7261124607274,3.33985377149523
"713","ENSG00000143839.14","female_placenta_mid",1,21.8946908164247,0.98502640044473,22.2275167513677
"714","ENSG00000170498.8","female_placenta_mid",1,4317.86065107434,1321.410783557,3.26761420809011
"716","ENSG00000170382.11","female_placenta_mid",1,3.7986739756291,0.449515838547793,8.45058983438961
"721","ENSG00000158715.5","female_placenta_mid",1,3.43561771913126,0.671584128775858,5.11569224453471
"725","ENSG00000276600.4","female_placenta_mid",1,18.6207226800956,6.01820370423909,3.09406653466708
"799","ENSG00000177614.10","female_placenta_mid",1,7.62578816082055,1.85945485925624,4.1010880811975
"801","ENSG00000135744.7","female_placenta_mid",1,1.23925852732149,0.338831083184547,3.65745230831292
"831","ENSG00000162849.15","female_placenta_mid",1,14.0687351120185,3.18666785264921,4.4148733920677
"858","ENSG00000171848.14","female_placenta_mid",1,13.0220099325416,3.85305423141985,3.37965913543423
"872","ENSG00000143867.6","female_placenta_mid",1,10.2355928847502,2.35667052867541,4.34324304573165
"895","ENSG00000138080.13","female_placenta_mid",1,56.8758637355598,16.7225485516754,3.40114807021215
"942","ENSG00000162878.12","female_placenta_mid",1,15.5626107283762,3.90969848358321,3.98051430147963
"969","ENSG00000119866.21","female_placenta_mid",1,5.62631104717768,0.874678792215788,6.43243107898475
"1002","ENSG00000075340.22","female_placenta_mid",1,1.3994019462582,0.42912656861191,3.26104708637553
"1030","ENSG00000159399.9","female_placenta_mid",1,96.8568474977868,19.0156763805543,5.09352628638727
"1035","ENSG00000143954.12","female_placenta_mid",1,1.30206698648586,0.100543524383233,12.9502819248994
"1051","ENSG00000115523.16","female_placenta_mid",1,4.53559857666147,1.27528208491236,3.55654535598151
"1103","ENSG00000119147.9","female_placenta_mid",1,5.33014616081214,0.750595938782487,7.10121902532269
"1107","ENSG00000198203.9","female_placenta_mid",1,3.68301017803151,0.476663335267477,7.72664878024405
"1121","ENSG00000175497.16","female_placenta_mid",1,3.72319632827629,1.15754520120893,3.21645869585725
"1124","ENSG00000019169.10","female_placenta_mid",1,7.63967215311833,1.97546200112881,3.86728377906176
"1134","ENSG00000074047.21","female_placenta_mid",1,5.72363832101823,1.71042423552707,3.34632671949628
"1183","ENSG00000144285.19","female_placenta_mid",1,2.45298459661974,0.155615449645035,15.7631173653715
"1230","ENSG00000168542.14","female_placenta_mid",1,6225.29040204856,1625.23686361725,3.83038961360566
"1282","ENSG00000021826.15","female_placenta_mid",1,124.153266501666,25.3836200417497,4.89107803762682
"1302","ENSG00000135925.8","female_placenta_mid",1,6.783723767356,1.91079422151415,3.55021157745623
"1316","ENSG00000163082.9","female_placenta_mid",1,4.26727891997525,0.664062816625092,6.42601695674284
"1318","ENSG00000152056.16","female_placenta_mid",1,21.1317456740923,6.853984417914,3.08313301951213
"1350","ENSG00000178752.15","female_placenta_mid",1,3.39001809431398,0.503856612138047,6.72814053174553
"1351","ENSG00000144485.10","female_placenta_mid",1,1.18851522094735,0.36829955094124,3.22703412998994
"1353","ENSG00000233608.3","female_placenta_mid",1,8.55166367245527,2.19711848193686,3.89221780380118
"1369","ENSG00000134115.12","female_placenta_mid",1,18.3853280549314,1.39595060949151,13.1704717415672
"1400","ENSG00000154764.5","female_placenta_mid",1,65.1530562373881,19.4413930719252,3.35125451125588
"1463","ENSG00000144647.5","female_placenta_mid",1,14.0943998670332,4.11251091520103,3.42720059779932
"1481","ENSG00000121797.9","female_placenta_mid",1,7.39479058863223,2.29284336114143,3.22516169833378
"1548","ENSG00000114854.7","female_placenta_mid",1,6.49179017492806,1.48816892695301,4.36226698283497
"1564","ENSG00000144730.17","female_placenta_mid",1,4.11915926721365,1.15159271545267,3.57692369180582
"1589","ENSG00000172986.12","female_placenta_mid",1,12.3506604140974,3.78688939929559,3.26142622924102
"1600","ENSG00000269028.3","female_placenta_mid",1,916.411757882072,18.9373897532576,48.391661671558
"1625","ENSG00000121570.12","female_placenta_mid",1,9.28722761471652,2.06240790814595,4.50309930350562
"1638","ENSG00000172020.12","female_placenta_mid",1,2.54761601859268,0.591750747336431,4.30521808389753
"1653","ENSG00000145103.13","female_placenta_mid",1,9.25096550249293,2.53256463241877,3.65280529628878
"1655","ENSG00000121552.3","female_placenta_mid",1,23.1457194700935,5.84138786884333,3.96236647690314
"1689","ENSG00000206384.10","female_placenta_mid",1,14.4306235633615,2.22819013406017,6.47638787317771
"1696","ENSG00000091513.15","female_placenta_mid",1,3.68397033744673,0.55882494970798,6.59235121726728
"1711","ENSG00000175093.4","female_placenta_mid",1,1.85173758826905,0.246712390508167,7.50565297695395
"1721","ENSG00000181744.8","female_placenta_mid",1,153.438769583888,28.1031486998529,5.45984263979257
"1736","ENSG00000198829.6","female_placenta_mid",1,1.970444999357,0.370336680742533,5.32068547843064
"1793","ENSG00000163898.9","female_placenta_mid",1,1.99072424062944,0.366540267468671,5.43112017235485
"1797","ENSG00000145192.12","female_placenta_mid",1,6.2201406598639,0.00894482981852328,695.389491590215
"1798","ENSG00000113889.13","female_placenta_mid",1,1.21669908161631,0.113119156860586,10.7559065624564
"1841","ENSG00000127418.14","female_placenta_mid",1,9.39595655021937,3.03059664406298,3.10036525930506
"1851","ENSG00000243449.6","female_placenta_mid",1,2.09853550027093,0.661945247374462,3.17025540797302
"1863","ENSG00000163132.6","female_placenta_mid",1,7.64157940214352,2.51273051437461,3.0411456216368
"1878","ENSG00000170801.9","female_placenta_mid",1,37.4875141735697,9.90661156876414,3.78409044438252
"1888","ENSG00000137440.4","female_placenta_mid",1,2.75279775990493,0.471097680835734,5.84336937303836
"1894","ENSG00000145147.19","female_placenta_mid",1,111.263252277455,35.882172241597,3.10079477709187
"1895","ENSG00000185774.15","female_placenta_mid",1,1.78469145824352,0.53530834179061,3.33395039627762
"1906","ENSG00000169851.15","female_placenta_mid",1,1.85160350010413,0.471022922555642,3.93102630771733
"1950","ENSG00000163631.16","female_placenta_mid",1,78.09430981995,0.0656081940014206,1190.31335961266
"1951","ENSG00000081051.7","female_placenta_mid",1,31.8365887009183,0.0113885892353284,2795.4813404068
"1953","ENSG00000169429.10","female_placenta_mid",1,6.86134253431157,2.14225420009495,3.20286104889301
"1956","ENSG00000109321.10","female_placenta_mid",1,141.568289341883,44.9344101641265,3.15055408148885
"1982","ENSG00000118785.13","female_placenta_mid",1,6261.33088804628,589.163253313668,10.6274973071221
"1992","ENSG00000163106.10","female_placenta_mid",1,35.0291512023885,9.49571671884618,3.68894231362926
"1994","ENSG00000182168.14","female_placenta_mid",1,18.4706265280036,5.78735398312134,3.19154946835336
"2003","ENSG00000145358.6","female_placenta_mid",1,7.26866840125801,2.13639968867467,3.40229800621586
"2016","ENSG00000155011.8","female_placenta_mid",1,14.9087349296003,1.97009354316168,7.5675264158646
"2026","ENSG00000164093.16","female_placenta_mid",1,86.834162696915,16.2580902223346,5.34098172106502
"2031","ENSG00000145362.17","female_placenta_mid",1,33.7412039717282,4.51711019605757,7.46964375612903
"2057","ENSG00000138650.8","female_placenta_mid",1,167.678202038071,32.6174357308184,5.1407536577022
"2058","ENSG00000254535.3","female_placenta_mid",1,45.4714802972472,9.36025263676924,4.85793301332751
"2090","ENSG00000171564.11","female_placenta_mid",1,2.9450735387785,0.758658818369567,3.88194728311174
"2106","ENSG00000248329.5","female_placenta_mid",1,3.03150250322273,0.629332956903032,4.8170089774749
"2135","ENSG00000186352.8","female_placenta_mid",1,24.2075654242193,4.94939416866416,4.89101586967621
"2140","ENSG00000179059.9","female_placenta_mid",1,6.79335764012362,0.400311426553768,16.9701816873098
"2172","ENSG00000154122.13","female_placenta_mid",1,81.6720333197316,25.0412863816059,3.26149511950488
"2226","ENSG00000164512.17","female_placenta_mid",1,1.70922778647542,0.478126545995311,3.57484394203074
"2242","ENSG00000134061.5","female_placenta_mid",1,25.5980841554688,5.31269895127597,4.81828245685196
"2292","ENSG00000145681.10","female_placenta_mid",1,318.209086578951,36.7959849634998,8.64792957423486
"2306","ENSG00000145721.11","female_placenta_mid",1,3.1572351975629,0.603529876068871,5.23128236522067
"2313","ENSG00000184349.12","female_placenta_mid",1,13.6807973188383,4.06082976985961,3.36896597350134
"2363","ENSG00000069011.15","female_placenta_mid",1,6.9005610419925,1.30864478986356,5.27305888919785
"2365","ENSG00000145824.12","female_placenta_mid",1,211.96380220657,24.8957378855439,8.51405984353852
"2439","ENSG00000145861.7","female_placenta_mid",1,2.45955295327888,0.723082319171686,3.40148401926959
"2529","ENSG00000111863.12","female_placenta_mid",1,2.32839947946118,0.373268684853057,6.23786450336114
"2556","ENSG00000124610.4","female_placenta_mid",1,2.75206501956954,0.18338500875472,15.0070337715035
"2557","ENSG00000275714.1","female_placenta_mid",1,11.2266375219997,3.49223132001773,3.21474624479993
"2562","ENSG00000276410.3","female_placenta_mid",1,22.429276108134,6.70925811406538,3.34303371949768
