"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"27","ENSG00000196581.10","male_placenta_mid",1,1.18539628469662,0.338148509863531,3.50554933740509
"48","ENSG00000162444.11","male_placenta_mid",1,11.4689050122065,1.77167647582262,6.47347592448068
"65","ENSG00000188984.11","male_placenta_mid",1,5.54956508717795,1.34144951007427,4.13699140034774
"88","ENSG00000158747.14","male_placenta_mid",1,22.9462417239004,7.13482054295711,3.21609234398348
"112","ENSG00000158008.9","male_placenta_mid",1,4.55171225950033,1.45963827024465,3.11838374773321
"121","ENSG00000175793.11","male_placenta_mid",1,1.77787636321866,0.433672931500092,4.099578816388
"141","ENSG00000188060.7","male_placenta_mid",1,12.4790015003378,2.22595668612365,5.60612952539931
"148","ENSG00000121769.7","male_placenta_mid",1,5.43445303300416,1.20759015879245,4.50024620806651
"152","ENSG00000121753.12","male_placenta_mid",1,20.1800235823592,4.51694186380831,4.46762969079816
"166","ENSG00000160097.17","male_placenta_mid",1,2.0706104076169,0.36126676865426,5.73152746744475
"179","ENSG00000171812.12","male_placenta_mid",1,57.2200779532461,15.157828952864,3.77495208127643
"183","ENSG00000169218.13","male_placenta_mid",1,1.33559668368193,0.320952392848231,4.16135449818408
"201","ENSG00000049089.14","male_placenta_mid",1,3.54403980769278,1.06894970527155,3.31544111964788
"217","ENSG00000117399.13","male_placenta_mid",1,16.0707372834565,5.28982293339641,3.03804824581114
"232","ENSG00000186603.5","male_placenta_mid",1,4.8380639311235,1.46422117125079,3.3041893028979
"322","ENSG00000137948.18","male_placenta_mid",1,11.1021853467424,0.694122834446145,15.9945542716529
"337","ENSG00000122477.12","male_placenta_mid",1,8.32526973920876,1.93338709982117,4.30605425058376
"353","ENSG00000143028.8","male_placenta_mid",1,7.0614282679902,0.812460273213554,8.69141359990424
"378","ENSG00000116774.11","male_placenta_mid",1,151.916692180163,37.4900860084857,4.05218307970212
"384","ENSG00000173212.4","male_placenta_mid",1,5.06500235110762,1.33947508133668,3.7813337640094
"388","ENSG00000203859.9","male_placenta_mid",1,8.79783264491986,2.59729272176443,3.38730885864231
"389","ENSG00000092621.12","male_placenta_mid",1,29.6287161734202,6.47681615800574,4.57458038805028
"403","ENSG00000183598.3","male_placenta_mid",1,7.02010800339202,2.08432499064094,3.3680486655938
"404","ENSG00000203812.2","male_placenta_mid",1,1.02752687116916,0.1203976751188,8.53444113563878
"408","ENSG00000159164.9","male_placenta_mid",1,3.37479293742249,1.04717657266395,3.2227544289281
"425","ENSG00000143416.20","male_placenta_mid",1,38.8967086296782,11.4880070305056,3.38585348410657
"433","ENSG00000143556.8","male_placenta_mid",1,1.66030184148043,0.377904329387979,4.39344488106106
"436","ENSG00000160678.11","male_placenta_mid",1,7.64834798484596,0.357481426537021,21.3950919322906
"475","ENSG00000143320.8","male_placenta_mid",1,21.1853171483116,4.90963738392215,4.31504722073534
"478","ENSG00000143297.18","male_placenta_mid",1,2.04816101088304,0.204607477432441,10.0101962869823
"479","ENSG00000073754.5","male_placenta_mid",1,20.815061683357,1.70352527041235,12.2188159136134
"483","ENSG00000162706.12","male_placenta_mid",1,152.299159146957,50.4791070063855,3.01707316509564
"484","ENSG00000213088.10","male_placenta_mid",1,5.82669584892154,1.89715055119739,3.07128806685585
"499","ENSG00000158874.11","male_placenta_mid",1,2.44581643855378,0.0093245404673949,262.298871146097
"504","ENSG00000173110.7","male_placenta_mid",1,9.46168669271947,2.45245069824846,3.85805378247848
"519","ENSG00000143153.12","male_placenta_mid",1,77.6011290427375,25.8110988877663,3.00650233375062
"525","ENSG00000010932.16","male_placenta_mid",1,7.91399909989702,1.04850426778758,7.54789402678935
"529","ENSG00000120337.8","male_placenta_mid",1,3.63003919267683,0.196453995087368,18.4778079522509
"550","ENSG00000135838.13","male_placenta_mid",1,104.256071663258,33.1867914677062,3.14149295706121
"587","ENSG00000143839.14","male_placenta_mid",1,12.9649867587792,0.952580384413139,13.6103860324256
"588","ENSG00000170498.8","male_placenta_mid",1,4966.90007425705,1320.64855325627,3.76095522310638
"590","ENSG00000170382.11","male_placenta_mid",1,4.14395759711946,0.447138644554726,9.26772411104421
"596","ENSG00000158715.5","male_placenta_mid",1,3.75307687871677,0.564798661343678,6.64498189458887
"600","ENSG00000276600.4","male_placenta_mid",1,17.9430928457521,5.86236465467251,3.06072615790811
"607","ENSG00000162892.15","male_placenta_mid",1,1.09922364732634,0.236980374526862,4.63845856232176
"637","ENSG00000143502.14","male_placenta_mid",1,1.07525105273207,0.290820077657693,3.69730680698629
"667","ENSG00000177614.10","male_placenta_mid",1,8.00359125915286,2.07651350389876,3.85434105972618
"668","ENSG00000135744.7","male_placenta_mid",1,1.1055983090569,0.331700727183051,3.333119943529
"690","ENSG00000162849.15","male_placenta_mid",1,14.4171228695298,2.98227922865886,4.83426324771515
"715","ENSG00000171848.14","male_placenta_mid",1,13.0120300290761,3.58290128021333,3.63170207924382
"719","ENSG00000196208.13","male_placenta_mid",1,9.01704070769421,2.41376148302837,3.73568008732213
"727","ENSG00000143867.6","male_placenta_mid",1,11.0628982540354,2.74646702870743,4.02804699215411
"738","ENSG00000157833.12","male_placenta_mid",1,2.50674926769285,0.816244637027413,3.07107594216103
"747","ENSG00000138080.13","male_placenta_mid",1,67.1563299137245,15.8935278926483,4.2253884957026
"754","ENSG00000115226.9","male_placenta_mid",1,2.6845598597557,0.850317305588113,3.15712715960656
"774","ENSG00000143891.16","male_placenta_mid",1,15.8034438464791,4.89094415561444,3.2311642381641
"778","ENSG00000162878.12","male_placenta_mid",1,14.5373735826202,4.25766230317639,3.41440268096761
"803","ENSG00000119866.21","male_placenta_mid",1,5.71658486983035,0.699239969708125,8.17542634500221
"858","ENSG00000143954.12","male_placenta_mid",1,1.61867558610579,0.27983177003239,5.78445966274105
"859","ENSG00000162951.10","male_placenta_mid",1,1.61862676769675,0.473746467727366,3.41665189708231
