"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"41","ENSG00000188984.11","termF_placenta",1,5.14508349037177,1.30343083150325,3.94733910386172
"722","ENSG00000184261.4","termF_placenta",1,2.81357945709415,0.900767174589968,3.12353684333013
"1042","ENSG00000163286.8","termF_placenta",1,16.0206465184083,1.21634662017473,13.1711193607846
"1073","ENSG00000180914.10","termF_placenta",1,2.76828126589532,0.879032114545353,3.14923791757837
"1267","ENSG00000144820.7","termF_placenta",1,12.6194216130824,2.32390503539968,5.43026561793737
"1285","ENSG00000185565.11","termF_placenta",1,1.74586205232494,0.545759465142657,3.198958815801
"1506","ENSG00000154277.12","termF_placenta",1,2.16906293249281,0.684127570200819,3.17055331048287
"1660","ENSG00000171560.14","termF_placenta",1,1.62165338870582,0.0783188452255003,20.7057877837276
"1661","ENSG00000171557.16","termF_placenta",1,2.74207014164048,0.36354940017651,7.54249667392974
"1724","ENSG00000154162.14","termF_placenta",1,1.25253043191042,0.377650293345844,3.31664096117457
"2013","ENSG00000172179.11","termF_placenta",1,5.24990603823893,0.668301475523824,7.8555954617996
"2133","ENSG00000112818.9","termF_placenta",1,2.09975586291085,0.384582941390359,5.45982579289589
"2381","ENSG00000146678.9","termF_placenta",1,141.239222700134,13.7181501357352,10.2957921660452
"2658","ENSG00000172817.3","termF_placenta",1,1.59733813415666,0.472141908488032,3.3831737988943
"2838","ENSG00000198963.10","termF_placenta",1,9.92301943049149,1.89052006145655,5.24883053758568
"2846","ENSG00000106772.17","termF_placenta",1,27.3260793119326,8.10256618375026,3.37252158047597
"2862","ENSG00000165023.6","termF_placenta",1,1.49369927963584,0.2200099943506,6.78923375297003
"2864","ENSG00000106809.10","termF_placenta",1,7.68436962138158,2.32118092880495,3.31054314897281
"2865","ENSG00000127083.7","termF_placenta",1,2.73368090090183,0.787821379441571,3.46992474720543
"2987","ENSG00000122133.16","termF_placenta",1,3.80830152846463,1.2208223431651,3.11945595506652
"3081","ENSG00000107984.9","termF_placenta",1,31.0359830474074,9.51814268507214,3.26071840634234
"3157","ENSG00000138207.13","termF_placenta",1,7.15888568740075,0.849741483268907,8.42478074609342
"3322","ENSG00000184937.13","termF_placenta",1,1.82255121687645,0.45264764719355,4.02642370545038
"3706","ENSG00000205420.10","termF_placenta",1,9.47557585068997,0.917283057561595,10.3300456413954
"3792","ENSG00000083782.7","termF_placenta",1,2.91432616046885,0.703013479403613,4.14547693017374
"4328","ENSG00000138615.5","termF_placenta",1,4.92140410249705,1.5365879422332,3.20281317276545
"4358","ENSG00000140465.13","termF_placenta",1,5.84218530710362,0.594807301090089,9.8219798183324
"5049","ENSG00000166396.12","termF_placenta",1,2.18080780616665,0.601464736745558,3.62582820393877
"5725","ENSG00000138944.7","termF_placenta",1,1.46681022800804,0.370614879075011,3.95777479757137
"5799","ENSG00000124479.9","termF_placenta",1,2.04093932207541,0.348693854701799,5.85309805307814
"5906","ENSG00000101938.14","termF_placenta",1,16.7052467119399,2.78789802568356,5.99205801576762
"5908","ENSG00000123496.7","termF_placenta",1,4.92513816306091,1.08274419111422,4.54875510160216
"5976","ENSG00000126890.13","termF_placenta",1,1.42211646005217,0.120494211384124,11.8023633145214
