"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"45","ENSG00000188984.11","termF_placenta",1,5.48423322824125,1.34144951007427,4.08828896432905
"771","ENSG00000184261.4","termF_placenta",1,3.02681762492862,0.957673075092993,3.16059593158626
"1098","ENSG00000163286.8","termF_placenta",1,17.0579356416724,1.29900502132334,13.1315394179885
"1130","ENSG00000180914.10","termF_placenta",1,2.91577047227582,0.902578244925156,3.23049052940291
"1333","ENSG00000144820.7","termF_placenta",1,13.6131444226407,3.02591718266155,4.49884897730968
"1351","ENSG00000185565.11","termF_placenta",1,1.86821902456738,0.557340236376753,3.35202611014162
"1584","ENSG00000154277.12","termF_placenta",1,2.33465392768219,0.693752298832448,3.36525577156472
"1749","ENSG00000171560.14","termF_placenta",1,1.76566680170858,0.0791506712499308,22.3076668059227
"1750","ENSG00000171557.16","termF_placenta",1,2.9393571474463,0.367815687626892,7.9913860292657
"1758","ENSG00000171509.15","termF_placenta",1,3.69414347938539,1.21568603323866,3.03873152967298
"1817","ENSG00000154162.14","termF_placenta",1,1.36440073670621,0.406623638508173,3.35543880752222
"2133","ENSG00000172179.11","termF_placenta",1,5.73269679795108,0.668583820502659,8.57438756690386
"2264","ENSG00000112818.9","termF_placenta",1,2.23326578736978,0.389155266876389,5.73875256859662
"2531","ENSG00000146678.9","termF_placenta",1,154.630560059922,13.7977297492492,11.2069567146245
"2808","ENSG00000181195.10","termF_placenta",1,1.80133529614664,0.592011818636286,3.04273536345281
"2818","ENSG00000172817.3","termF_placenta",1,1.71056231322161,0.496847775609607,3.44282977039162
"3012","ENSG00000198963.10","termF_placenta",1,10.6862826144223,1.89066322260844,5.65213438683122
"3020","ENSG00000106772.17","termF_placenta",1,29.3905433938866,8.26292920891327,3.55691579230557
"3036","ENSG00000165023.6","termF_placenta",1,1.63133256908221,0.222954260350825,7.31689345839483
"3040","ENSG00000106809.10","termF_placenta",1,8.16602557351959,2.43372547614557,3.35536018896124
"3041","ENSG00000127083.7","termF_placenta",1,2.90342596251723,0.797654601753483,3.63995387995585
"3168","ENSG00000122133.16","termF_placenta",1,4.03521746444764,1.25295683094365,3.22055586017961
"3267","ENSG00000107984.9","termF_placenta",1,33.5948632090226,9.83709235898338,3.41512125565674
"3347","ENSG00000138207.13","termF_placenta",1,7.65418242373261,0.853528770415401,8.96769117695637
"3523","ENSG00000184937.13","termF_placenta",1,1.96486729844442,0.461370932021581,4.25875832670037
"3934","ENSG00000205420.10","termF_placenta",1,9.99035313851038,0.930092222760408,10.7412500546023
"4026","ENSG00000083782.7","termF_placenta",1,3.16186270249821,0.712232851965705,4.43936655515359
"4585","ENSG00000138615.5","termF_placenta",1,5.27911977085683,1.57963386841301,3.3419894802335
"4616","ENSG00000140465.13","termF_placenta",1,5.81557573899492,0.666835322234701,8.72115730088463
"5370","ENSG00000166396.12","termF_placenta",1,2.46558656723819,0.647239583898002,3.80938778865963
"6086","ENSG00000138944.7","termF_placenta",1,1.59113426239392,0.366377078183023,4.34288703399472
"6164","ENSG00000124479.9","termF_placenta",1,2.22322630020121,0.35277235046564,6.3021557592784
"6275","ENSG00000101938.14","termF_placenta",1,17.8136896877829,2.79604733949958,6.37102578204956
"6277","ENSG00000123496.7","termF_placenta",1,5.50474556359438,1.17272105254685,4.69399398231956
"6326","ENSG00000197172.10","termF_placenta",1,1.04395685838628,0.336068002124685,3.10638576652995
"6352","ENSG00000126890.13","termF_placenta",1,1.53743543300119,0.129325894797433,11.8880711044708
